"Unix timestamp", "Node SN2120051742:solar"
1533530700, 0.0
1533530760, 0.0
1533530820, 0.0
1533530880, 0.0
1533530940, 0.0
1533531000, 0.0
1533531060, 0.0
1533531120, 0.0
1533531180, 0.0
1533531240, 0.0
1533531300, 0.0
1533531360, 0.0
1533531420, 0.0
1533531480, 21.0
1533531540, 22.0
1533531600, 23.0
1533531660, 27.0
1533531720, 26.0
1533531780, 26.0
1533531840, 33.0
1533531900, 38.0
1533531960, 41.0
1533532020, 45.0
1533532080, 49.0
1533532140, 54.0
1533532200, 54.0
1533532260, 63.0
1533532320, 66.0
1533532380, 66.0
1533532440, 69.0
1533532500, 77.0
1533532560, 87.0
1533532620, 95.0
1533532680, 93.0
1533532740, 92.0
1533532800, 96.0
1533532860, 102.0
1533532920, 114.0
1533532980, 123.0
1533533040, 123.0
1533533100, 141.0
1533533160, 148.0
1533533220, 153.0
1533533280, 155.0
1533533340, 154.0
1533533400, 151.0
1533533460, 151.0
1533533520, 178.0
1533533580, 186.0
1533533640, 197.0
1533533700, 204.0
1533533760, 212.0
1533533820, 217.0
1533533880, 217.0
1533533940, 243.0
1533534000, 245.0
1533534060, 254.0
1533534120, 257.0
1533534180, 261.0
1533534240, 263.0
1533534300, 261.0
1533534360, 261.0
1533534420, 256.0
1533534480, 248.0
1533534540, 256.0
1533534600, 256.0
1533534660, 263.0
1533534720, 263.0
1533534780, 269.0
1533534840, 275.0
1533534900, 276.0
1533534960, 276.0
1533535020, 271.0
1533535080, 281.0
1533535140, 295.0
1533535200, 312.0
1533535260, 309.0
1533535320, 291.0
1533535380, 261.0
1533535440, 244.0
1533535500, 236.0
1533535560, 230.0
1533535620, 225.0
1533535680, 224.0
1533535740, 226.0
1533535800, 226.0
1533535860, 227.0
1533535920, 229.0
1533535980, 216.0
1533536040, 210.0
1533536100, 207.0
1533536160, 232.0
1533536220, 256.0
1533536280, 265.0
1533536340, 262.0
1533536400, 231.0
1533536460, 236.0
1533536520, 241.0
1533536580, 254.0
1533536640, 248.0
1533536700, 238.0
1533536760, 240.0
1533536820, 253.0
1533536880, 269.0
1533536940, 295.0
1533537000, 315.0
1533537060, 319.0
1533537120, 316.0
1533537180, 324.0
1533537240, 332.0
1533537300, 352.0
1533537360, 383.0
1533537420, 394.0
1533537480, 417.0
1533537540, 436.0
1533537600, 583.0
1533537660, 566.0
1533537720, 549.0
1533537780, 549.0
1533537840, 610.0
1533537900, 666.0
1533537960, 659.0
1533538020, 628.0
1533538080, 478.0
1533538140, 532.0
1533538200, 532.0
1533538260, 438.0
1533538320, 446.0
1533538380, 416.0
1533538440, 464.0
1533538500, 513.0
1533538560, 518.0
1533538620, 518.0
1533538680, 538.0
1533538740, 519.0
1533538800, 564.0
1533538860, 509.0
1533538920, 517.0
