 ;Taikametsae / Power / Mean Values  [kW]0
12:15 AM;0.000
12:30 AM;0.000
12:45 AM;0.000
1:00 AM;0.000
1:15 AM;0.000
1:30 AM;0.000
1:45 AM;0.000
2:00 AM;0.000
2:15 AM;0.000
2:30 AM;0.000
2:45 AM;0.000
3:00 AM;0.000
3:15 AM;0.000
3:30 AM;0.000
3:45 AM;0.000
4:00 AM;0.000
4:15 AM;0.000
4:30 AM;0.000
4:45 AM;0.000
5:00 AM;0.000
5:15 AM;0.000
5:30 AM;0.000
5:45 AM;0.000
6:00 AM;0.000
6:15 AM;0.000
6:30 AM;0.020
6:45 AM;0.072
7:00 AM;0.128
7:15 AM;0.192
7:30 AM;0.272
7:45 AM;0.436
8:00 AM;0.752
8:15 AM;1.368
8:30 AM;1.444
8:45 AM;1.432
9:00 AM;1.572
9:15 AM;2.160
9:30 AM;2.748
9:45 AM;3.248
10:00 AM;3.804
10:15 AM;4.280
10:30 AM;4.568
10:45 AM;4.788
11:00 AM;5.160
11:15 AM;5.660
11:30 AM;6.276
11:45 AM;6.468
12:00 PM;6.708
12:15 PM;6.788
12:30 PM;6.820
12:45 PM;6.816
1:00 PM;6.864
1:15 PM;6.908
1:30 PM;6.928
1:45 PM;6.852
2:00 PM;6.716
2:15 PM;6.392
2:30 PM;6.364
2:45 PM;6.064
3:00 PM;5.744
3:15 PM;4.792
3:30 PM;4.080
3:45 PM;3.708
4:00 PM;3.172
4:15 PM;2.464
4:30 PM;1.800
4:45 PM;1.404
5:00 PM;1.020
5:15 PM;0.812
5:30 PM;0.604
5:45 PM;0.428
6:00 PM;0.244
6:15 PM;0.124
6:30 PM;0.032
6:45 PM;0.000
7:00 PM;0.000
7:15 PM;0.000
7:30 PM;0.000
7:45 PM;0.000
8:00 PM;0.000
8:15 PM;0.000
8:30 PM;0.000
8:45 PM;0.000
9:00 PM;0.000
9:15 PM;0.000
9:30 PM;0.000
9:45 PM;0.000
10:00 PM;0.000
10:15 PM;0.000
10:30 PM;0.000
10:45 PM;0.000
11:00 PM;0.000
11:15 PM;0.000
11:30 PM;0.000
11:45 PM;0.000
