"Date-time string","solar:solar ()"
2020-03-16T06:40:00+00:00,4
2020-03-16T06:41:00+00:00,5
2020-03-16T06:42:00+00:00,6
2020-03-16T06:43:00+00:00,5
2020-03-16T06:44:00+00:00,6
2020-03-16T06:45:00+00:00,8
2020-03-16T06:46:00+00:00,8
2020-03-16T06:47:00+00:00,6
2020-03-16T06:48:00+00:00,7
2020-03-16T06:49:00+00:00,5
2020-03-16T06:50:00+00:00,8
2020-03-16T06:51:00+00:00,5
2020-03-16T06:52:00+00:00,4
2020-03-16T06:53:00+00:00,6
2020-03-16T06:54:00+00:00,7
2020-03-16T06:55:00+00:00,6
2020-03-16T06:56:00+00:00,-23
2020-03-16T06:57:00+00:00,7
2020-03-16T06:58:00+00:00,5
2020-03-16T06:59:00+00:00,5
2020-03-16T07:00:00+00:00,39
2020-03-16T07:01:00+00:00,46
2020-03-16T07:02:00+00:00,60
2020-03-16T07:03:00+00:00,71
2020-03-16T07:04:00+00:00,83
2020-03-16T07:05:00+00:00,86
2020-03-16T07:06:00+00:00,97
2020-03-16T07:07:00+00:00,99
2020-03-16T07:08:00+00:00,107
2020-03-16T07:09:00+00:00,90
2020-03-16T07:10:00+00:00,75
2020-03-16T07:11:00+00:00,72
2020-03-16T07:12:00+00:00,56
2020-03-16T07:13:00+00:00,55
2020-03-16T07:14:00+00:00,58
2020-03-16T07:15:00+00:00,75
2020-03-16T07:16:00+00:00,60
2020-03-16T07:17:00+00:00,51
2020-03-16T07:18:00+00:00,54
2020-03-16T07:19:00+00:00,61
2020-03-16T07:20:00+00:00,57
2020-03-16T07:21:00+00:00,49
2020-03-16T07:22:00+00:00,54
2020-03-16T07:23:00+00:00,51
2020-03-16T07:24:00+00:00,47
2020-03-16T07:25:00+00:00,57
2020-03-16T07:26:00+00:00,69
2020-03-16T07:27:00+00:00,79
2020-03-16T07:28:00+00:00,72
2020-03-16T07:29:00+00:00,84
2020-03-16T07:30:00+00:00,83
2020-03-16T07:31:00+00:00,86
2020-03-16T07:32:00+00:00,94
2020-03-16T07:33:00+00:00,88
2020-03-16T07:34:00+00:00,87
2020-03-16T07:35:00+00:00,84
2020-03-16T07:36:00+00:00,102
2020-03-16T07:37:00+00:00,119
2020-03-16T07:38:00+00:00,134
2020-03-16T07:39:00+00:00,145
2020-03-16T07:40:00+00:00,151
2020-03-16T07:41:00+00:00,136
2020-03-16T07:42:00+00:00,139
2020-03-16T07:43:00+00:00,122
2020-03-16T07:44:00+00:00,116
2020-03-16T07:45:00+00:00,111
2020-03-16T07:46:00+00:00,112
2020-03-16T07:47:00+00:00,126
2020-03-16T07:48:00+00:00,123
2020-03-16T07:49:00+00:00,123
2020-03-16T07:50:00+00:00,122
2020-03-16T07:51:00+00:00,132
2020-03-16T07:52:00+00:00,147
2020-03-16T07:53:00+00:00,153
2020-03-16T07:54:00+00:00,148
2020-03-16T07:55:00+00:00,137
2020-03-16T07:56:00+00:00,177
2020-03-16T07:57:00+00:00,171
2020-03-16T07:58:00+00:00,167
2020-03-16T07:59:00+00:00,170
2020-03-16T08:00:00+00:00,178
2020-03-16T08:01:00+00:00,180
2020-03-16T08:02:00+00:00,181
2020-03-16T08:03:00+00:00,188
2020-03-16T08:04:00+00:00,192
2020-03-16T08:05:00+00:00,202
2020-03-16T08:06:00+00:00,205
2020-03-16T08:07:00+00:00,228
2020-03-16T08:08:00+00:00,238
2020-03-16T08:09:00+00:00,234
2020-03-16T08:10:00+00:00,247
2020-03-16T08:11:00+00:00,250
2020-03-16T08:12:00+00:00,254
2020-03-16T08:13:00+00:00,264
2020-03-16T08:14:00+00:00,262
2020-03-16T08:15:00+00:00,275
2020-03-16T08:16:00+00:00,
2020-03-16T08:17:00+00:00,281
2020-03-16T08:18:00+00:00,294
2020-03-16T08:19:00+00:00,308
2020-03-16T08:20:00+00:00,323
2020-03-16T08:21:00+00:00,322
2020-03-16T08:22:00+00:00,329
2020-03-16T08:23:00+00:00,349
2020-03-16T08:24:00+00:00,415
2020-03-16T08:25:00+00:00,474
2020-03-16T08:26:00+00:00,633
2020-03-16T08:27:00+00:00,766
2020-03-16T08:28:00+00:00,1044
2020-03-16T08:29:00+00:00,1215
2020-03-16T08:30:00+00:00,1365
2020-03-16T08:31:00+00:00,1513
2020-03-16T08:32:00+00:00,1670
2020-03-16T08:33:00+00:00,1416
2020-03-16T08:34:00+00:00,1847
2020-03-16T08:35:00+00:00,1864
2020-03-16T08:36:00+00:00,1556
2020-03-16T08:37:00+00:00,416
2020-03-16T08:38:00+00:00,440
2020-03-16T08:39:00+00:00,470
2020-03-16T08:40:00+00:00,607
2020-03-16T08:41:00+00:00,708
2020-03-16T08:42:00+00:00,1306
2020-03-16T08:43:00+00:00,522
2020-03-16T08:44:00+00:00,531
2020-03-16T08:45:00+00:00,547
2020-03-16T08:46:00+00:00,1028
2020-03-16T08:47:00+00:00,924
2020-03-16T08:48:00+00:00,614
2020-03-16T08:49:00+00:00,614
2020-03-16T08:50:00+00:00,534
2020-03-16T08:51:00+00:00,379
2020-03-16T08:52:00+00:00,460
2020-03-16T08:53:00+00:00,1926
2020-03-16T08:54:00+00:00,830
2020-03-16T08:55:00+00:00,542
2020-03-16T08:56:00+00:00,642
