"Date-time string", "solar:solar", "grid:Grid import export RAW"
2018-06-14 08:21:00, 219.0, -27
2018-06-14 08:22:00, 198.0, -22
2018-06-14 08:23:00, 214.0, -13
2018-06-14 08:24:00, 263.0, -65
2018-06-14 08:25:00, 296.0, -98
2018-06-14 08:26:00, 266.0, -66
2018-06-14 08:27:00, 188.0, 12
2018-06-14 08:28:00, 180.0, 12
2018-06-14 08:29:00, 151.0, 34
2018-06-14 08:30:00, 156.0, 36
2018-06-14 08:31:00, 158.0, 40
2018-06-14 08:32:00, 200.0, 2
2018-06-14 08:33:00, 184.0, 3044
2018-06-14 08:34:00, 207.0, -19
2018-06-14 08:35:00, 215.0, -41
2018-06-14 08:36:00, 256.0, -3
2018-06-14 08:37:00, 340.0, -148
2018-06-14 08:38:00, 588.0, -378
2018-06-14 08:39:00, 646.0, 764
2018-06-14 08:40:00, 495.0, 925
2018-06-14 08:41:00, 407.0, -247
2018-06-14 08:42:00, 508.0, -298
2018-06-14 08:43:00, 472.0, -282
2018-06-14 08:44:00, 388.0, -202
2018-06-14 08:45:00, 401.0, -214
2018-06-14 08:46:00, 462.0, -288
2018-06-14 08:47:00, 481.0, -314
2018-06-14 08:48:00, 556.0, -278
2018-06-14 08:49:00, 458.0, -219
2018-06-14 08:50:00, 446.0, -193
2018-06-14 08:51:00, 446.0, -190
2018-06-14 08:52:00, 434.0, -179
2018-06-14 08:53:00, 413.0, -158
2018-06-14 08:54:00, 421.0, -158
2018-06-14 08:55:00, 412.0, -74
2018-06-14 08:56:00, 377.0, -50
2018-06-14 08:57:00, 573.0, -237
2018-06-14 08:58:00, 535.0, -285
2018-06-14 08:59:00, 592.0, -271
2018-06-14 09:00:00, 552.0, -205
2018-06-14 09:01:00, 450.0, -137
2018-06-14 09:02:00, 693.0, -400
2018-06-14 09:03:00, 510.0, -214
2018-06-14 09:04:00, 2117.0, -1794
2018-06-14 09:05:00, 2703.0, -2329
2018-06-14 09:06:00, 527.0, -192
2018-06-14 09:07:00, 702.0, -404
2018-06-14 09:08:00, 748.0, -531
2018-06-14 09:09:00, 636.0, -389
2018-06-14 09:10:00, 511.0, -284
2018-06-14 09:11:00, 483.0, -298
2018-06-14 09:12:00, 428.0, -245
2018-06-14 09:13:00, 416.0, -237
2018-06-14 09:14:00, 458.0, -283
2018-06-14 09:15:00, 634.0, -441
2018-06-14 09:16:00, 755.0, -587
2018-06-14 09:17:00, 586.0, -488
2018-06-14 09:18:00, 601.0, -455
2018-06-14 09:19:00, 567.0, -386
2018-06-14 09:20:00, 442.0, -264
2018-06-14 09:21:00, 613.0, -409
2018-06-14 09:22:00, 670.0, -524
2018-06-14 09:23:00, 673.0, -449
2018-06-14 09:24:00, 521.0, -263
2018-06-14 09:25:00, 491.0, -333
2018-06-14 09:26:00, 701.0, -515
2018-06-14 09:27:00, 576.0, -415
2018-06-14 09:28:00, 789.0, -609
2018-06-14 09:29:00, 579.0, -398
2018-06-14 09:30:00, 464.0, -286
2018-06-14 09:31:00, 696.0, -469
2018-06-14 09:32:00, 744.0, -512
2018-06-14 09:33:00, 2944.0, -2705
2018-06-14 09:34:00, 645.0, -401
2018-06-14 09:35:00, 545.0, -305
2018-06-14 09:36:00, 587.0, -365
2018-06-14 09:37:00, 501.0, -243
2018-06-14 09:38:00, 3033.0, -2777
2018-06-14 09:39:00, 567.0, 2605
2018-06-14 09:40:00, 645.0, 2595
2018-06-14 09:41:00, 2743.0, 558
2018-06-14 09:42:00, 841.0, -699
2018-06-14 09:43:00, 1204.0, -950
2018-06-14 09:44:00, 737.0, -555
2018-06-14 09:45:00, 635.0, -452
2018-06-14 09:46:00, 627.0, -443
2018-06-14 09:47:00, 2376.0, -2487
2018-06-14 09:48:00, 1110.0, -909
2018-06-14 09:49:00, 1902.0, -1853
2018-06-14 09:50:00, 1142.0, -971
2018-06-14 09:51:00, 2222.0, -2069
2018-06-14 09:52:00, 736.0, -542
2018-06-14 09:53:00, 553.0, -377
2018-06-14 09:54:00, 735.0, -555
2018-06-14 09:55:00, 744.0, -579
2018-06-14 09:56:00, 736.0, -565
2018-06-14 09:57:00, 1500.0, -1308
2018-06-14 09:58:00, 831.0, -568
2018-06-14 09:59:00, 2947.0, -2722
2018-06-14 10:00:00, 985.0, -717
2018-06-14 10:01:00, 832.0, -574
2018-06-14 10:02:00, 686.0, -407
2018-06-14 10:03:00, 2302.0, -1953
2018-06-14 10:04:00, 718.0, -460
2018-06-14 10:05:00, 1045.0, -785
2018-06-14 10:06:00, 842.0, -602
2018-06-14 10:07:00, 778.0, -527
2018-06-14 10:08:00, 1450.0, -1223
2018-06-14 10:09:00, 1065.0, -812
2018-06-14 10:10:00, 1228.0, -1048
2018-06-14 10:11:00, 828.0, -649
2018-06-14 10:12:00, 861.0, -704
2018-06-14 10:13:00, 1103.0, -939
2018-06-14 10:14:00, 2984.0, -2823
2018-06-14 10:15:00, 1303.0, -1037
2018-06-14 10:16:00, 656.0, -418
2018-06-14 10:17:00, 454.0, -212
2018-06-14 10:18:00, 375.0, -129
2018-06-14 10:19:00, 302.0, -44
2018-06-14 10:20:00, 265.0, -14
2018-06-14 10:21:00, 293.0, -51
2018-06-14 10:22:00, 402.0, -182
2018-06-14 10:23:00, 458.0, -240
2018-06-14 10:24:00, 592.0, -394
2018-06-14 10:25:00, 842.0, -676
2018-06-14 10:26:00, 1258.0, -1119
2018-06-14 10:27:00, 2267.0, -1803
2018-06-14 10:28:00, 1242.0, -1092
2018-06-14 10:29:00, 1845.0, 1365
2018-06-14 10:30:00, 1135.0, 2134
2018-06-14 10:31:00, 759.0, 2518
2018-06-14 10:32:00, 599.0, 2699
2018-06-14 10:33:00, 287.0, 3004
2018-06-14 10:34:00, 235.0, -30
2018-06-14 10:35:00, 177.0, 22
2018-06-14 10:36:00, 235.0, -42
2018-06-14 10:37:00, 436.0, -276
2018-06-14 10:38:00, 639.0, -447
2018-06-14 10:39:00, 656.0, -470
2018-06-14 10:40:00, 557.0, -387
2018-06-14 10:41:00, 325.0, -154
2018-06-14 10:42:00, 232.0, -39
2018-06-14 10:43:00, 298.0, -57
2018-06-14 10:44:00, 407.0, -176
2018-06-14 10:45:00, 396.0, -174
2018-06-14 10:46:00, 302.0, 1930
2018-06-14 10:47:00, 215.0, 2021
2018-06-14 10:48:00, 179.0, 35
2018-06-14 10:49:00, 137.0, 81
2018-06-14 10:50:00, 129.0, 115
2018-06-14 10:51:00, 150.0, 93
2018-06-14 10:52:00, 253.0, -20
2018-06-14 10:53:00, 370.0, -149
2018-06-14 10:54:00, 501.0, -261
2018-06-14 10:55:00, 638.0, -378
2018-06-14 10:56:00, 481.0, -265
2018-06-14 10:57:00, 2233.0, -1796
2018-06-14 10:58:00, 2764.0, -2604
2018-06-14 10:59:00, 2899.0, -2700
2018-06-14 11:00:00, 1201.0, -849
2018-06-14 11:01:00, 895.0, -611
2018-06-14 11:02:00, 710.0, -407
2018-06-14 11:03:00, 642.0, -339
2018-06-14 11:04:00, 2986.0, -2691
2018-06-14 11:05:00, 2972.0, -2713
2018-06-14 11:06:00, 2846.0, -2532
2018-06-14 11:07:00, 699.0, -402
2018-06-14 11:08:00, 585.0, -72
2018-06-14 11:09:00, 418.0, 91
2018-06-14 11:10:00, 323.0, 209
2018-06-14 11:11:00, 267.0, 250
2018-06-14 11:12:00, 272.0, 264
2018-06-14 11:13:00, 275.0, 175
