"Date-time string", "solar:solar", "voltage:AC RMS Voltage"
2020-03-27 01:12:00, 4.0, 249.2
2020-03-27 01:14:00, 4.0, 248.9
2020-03-27 01:16:00, 4.0, 249.2
2020-03-27 01:18:00, 2.0, 248.9
2020-03-27 01:20:00, 6.0, 249.1
2020-03-27 01:22:00, 4.0, 248.5
2020-03-27 01:24:00, 4.0, 249.3
2020-03-27 01:26:00, 1.0, 249.6
2020-03-27 01:28:00, 3.0, 248.9
2020-03-27 01:30:00, 2.0, 249.3
2020-03-27 01:32:00, 2.0, 249.4
2020-03-27 01:34:00, 4.0, 249.9
2020-03-27 01:36:00, 3.0, 249.9
2020-03-27 01:38:00, 1.0, 249.2
2020-03-27 01:40:00, 2.0, 249.7
2020-03-27 01:42:00, 3.0, 249.6
2020-03-27 01:44:00, 3.0, 249.8
2020-03-27 01:46:00, 2.0, 248.7
2020-03-27 01:48:00, 7.0, 249.5
2020-03-27 01:50:00, 3.0, 249.6
2020-03-27 01:52:00, 3.0, 249.0
2020-03-27 01:54:00, 2.0, 249.8
2020-03-27 01:56:00, 4.0, 249.9
2020-03-27 01:58:00, 1.0, 249.7
2020-03-27 02:00:00, 1.0, 249.6
2020-03-27 02:02:00, 2.0, 249.6
2020-03-27 02:04:00, 2.0, 248.6
2020-03-27 02:06:00, 2.0, 249.5
2020-03-27 02:08:00, 4.0, 249.8
2020-03-27 02:10:00, 4.0, 249.0
2020-03-27 02:12:00, 4.0, 249.7
2020-03-27 02:14:00, 2.0, 249.9
2020-03-27 02:16:00, 3.0, 249.5
2020-03-27 02:18:00, 4.0, 248.3
2020-03-27 02:20:00, 4.0, 249.6
2020-03-27 02:22:00, 2.0, 249.3
2020-03-27 02:24:00, 2.0, 249.3
2020-03-27 02:26:00, 3.0, 249.4
2020-03-27 02:28:00, 2.0, 249.2
2020-03-27 02:30:00, 3.0, 248.4
2020-03-27 02:32:00, 2.0, 249.7
2020-03-27 02:34:00, 2.0, 249.4
2020-03-27 02:36:00, 4.0, 249.6
2020-03-27 02:38:00, 2.0, 249.5
2020-03-27 02:40:00, 1.0, 249.3
2020-03-27 02:42:00, 1.0, 249.0
2020-03-27 02:44:00, 2.0, 249.2
2020-03-27 02:46:00, 4.0, 249.2
2020-03-27 02:48:00, 2.0, 248.3
2020-03-27 02:50:00, 2.0, 249.2
2020-03-27 02:52:00, 4.0, 249.1
2020-03-27 02:54:00, 4.0, 249.0
2020-03-27 02:56:00, 3.0, 249.2
2020-03-27 02:58:00, 3.0, 249.4
2020-03-27 03:00:00, 4.0, 249.0
2020-03-27 03:02:00, 4.0, 248.1
2020-03-27 03:04:00, 3.0, 248.1
