Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
06/08/2018 04:45:00,0,0,0,0,1440,254,0
06/08/2018 04:46:00,0,0,0,0,1440,254,0
06/08/2018 04:47:00,0,0,0,0,1440,254,0
06/08/2018 04:48:00,0,0,0,0,1440,254,0
06/08/2018 04:49:00,0,0,0,0,1440,254,0
06/08/2018 04:50:00,0,0,0,0,1440,254,0
06/08/2018 04:51:00,0,0,0,0,1440,254,0
06/08/2018 04:52:00,0,0,0,0,1440,254,0
06/08/2018 04:53:00,0,0,0,0,1440,254,0
06/08/2018 04:54:00,0,0,0,0,1440,254,0
06/08/2018 04:55:00,0,0,0,0,1440,254,0
06/08/2018 04:56:00,0,0,0,0,1440,254,0
06/08/2018 04:57:00,0,0,0,0,1440,254,0
06/08/2018 04:58:00,21,0,0,0,1440,254,3.80665
06/08/2018 04:59:00,22,0,0,0,1440,254,7.10455
06/08/2018 05:00:00,23,0,0,0,1440,254,9.9859
06/08/2018 05:01:00,27,0,0,0,1440,254,13.07
06/08/2018 05:02:00,26,0,0,0,1440,254,15.4138
06/08/2018 05:03:00,26,0,0,0,1440,254,17.3328
06/08/2018 05:04:00,33,0,0,0,1440,254,20.1728
06/08/2018 05:05:00,38,0,0,0,1440,254,23.4043
06/08/2018 05:06:00,41,0,0,0,1440,254,26.5939
06/08/2018 05:07:00,45,0,0,0,1440,254,29.9303
06/08/2018 05:08:00,49,0,0,0,1440,254,33.3871
06/08/2018 05:09:00,54,0,0,0,1440,254,37.1236
06/08/2018 05:10:00,54,0,0,0,1440,254,40.1827
06/08/2018 05:11:00,63,0,0,0,1440,254,44.3188
06/08/2018 05:12:00,66,0,0,0,1440,254,48.2489
06/08/2018 05:13:00,66,0,0,0,1440,254,51.4667
06/08/2018 05:14:00,69,0,0,0,1440,254,54.6449
06/08/2018 05:15:00,77,0,0,0,1440,254,58.6972
06/08/2018 05:16:00,87,0,0,0,1440,254,63.8276
06/08/2018 05:17:00,95,0,0,0,1440,254,69.4782
06/08/2018 05:18:00,93,0,0,0,1440,254,73.742
06/08/2018 05:19:00,92,0,0,0,1440,254,77.0516
06/08/2018 05:20:00,96,0,0,0,1440,254,80.4864
06/08/2018 05:21:00,102,0,0,0,1440,254,84.3861
06/08/2018 05:22:00,114,0,0,0,1440,254,89.7542
06/08/2018 05:23:00,123,0,0,0,1440,254,95.7807
06/08/2018 05:24:00,123,0,0,0,1440,254,100.715
06/08/2018 05:25:00,141,0,0,0,1440,254,108.017
06/08/2018 05:26:00,148,0,0,0,1440,254,115.265
06/08/2018 05:27:00,153,0,0,0,1440,254,122.105
06/08/2018 05:28:00,155,0,0,0,1440,254,128.068
06/08/2018 05:29:00,154,0,0,0,1440,254,132.769
06/08/2018 05:30:00,151,0,0,0,1440,254,136.073
06/08/2018 05:31:00,151,0,0,0,1440,254,138.779
06/08/2018 05:32:00,178,0,0,0,1440,254,145.889
06/08/2018 05:33:00,186,0,0,0,1440,254,153.16
06/08/2018 05:34:00,197,0,0,0,1440,254,161.107
06/08/2018 05:35:00,204,0,0,0,1440,254,168.882
06/08/2018 05:36:00,212,0,0,0,1440,254,176.698
06/08/2018 05:37:00,217,0,0,0,1440,254,184.003
06/08/2018 05:38:00,217,0,0,0,1440,254,189.985
06/08/2018 05:39:00,243,0,0,0,1440,254,199.595
06/08/2018 05:40:00,245,0,0,0,1440,254,207.825
06/08/2018 05:41:00,254,0,0,0,1440,254,216.195
06/08/2018 05:42:00,257,0,0,0,1440,254,223.592
06/08/2018 05:43:00,261,0,0,0,1440,254,230.373
06/08/2018 05:44:00,263,0,0,0,1440,254,236.287
06/08/2018 05:45:00,261,0,0,0,1440,254,240.767
06/08/2018 05:46:00,261,0,0,0,1440,254,244.435
06/08/2018 05:47:00,256,0,0,0,1440,254,246.531
06/08/2018 05:48:00,248,0,0,0,1440,254,246.797
06/08/2018 05:49:00,256,0,0,0,1440,254,248.465
06/08/2018 05:50:00,256,0,0,0,1440,254,249.831
06/08/2018 05:51:00,263,0,0,0,1440,254,252.218
06/08/2018 05:52:00,263,0,0,0,1440,254,254.173
06/08/2018 05:53:00,269,0,0,0,1440,254,256.86
06/08/2018 05:54:00,275,0,0,0,1440,254,260.149
06/08/2018 05:55:00,276,0,0,0,1440,254,263.022
06/08/2018 05:56:00,276,0,0,0,1440,254,265.374
06/08/2018 05:57:00,271,0,0,0,1440,254,266.394
06/08/2018 05:58:00,281,0,0,0,1440,254,269.042
06/08/2018 05:59:00,295,0,0,0,1440,254,273.747
06/08/2018 06:00:00,312,0,0,0,1440,254,280.681
06/08/2018 06:01:00,309,0,0,0,1440,254,285.815
06/08/2018 06:02:00,291,0,0,0,1440,254,286.755
06/08/2018 06:03:00,261,0,0,0,1440,254,262.282
06/08/2018 06:04:00,244,0,0,0,1440,254,244.91
06/08/2018 06:05:00,236,0,0,0,1440,254,236.444
06/08/2018 06:06:00,230,0,0,0,1440,254,230.321
06/08/2018 06:07:00,225,0,0,0,1440,254,225.265
06/08/2018 06:08:00,224,0,0,0,1440,254,224.063
06/08/2018 06:09:00,226,0,0,0,1440,254,224.414
06/08/2018 06:10:00,226,0,0,0,1440,254,224.702
06/08/2018 06:11:00,227,0,0,0,1440,254,225.118
06/08/2018 06:12:00,229,0,0,0,1440,254,225.822
06/08/2018 06:13:00,216,0,0,0,1440,254,216.489
06/08/2018 06:14:00,210,0,0,0,1440,254,210.323
06/08/2018 06:15:00,207,0,0,0,1440,254,207.165
06/08/2018 06:16:00,232,0,0,0,1440,254,211.667
06/08/2018 06:17:00,256,0,0,0,1440,254,219.703
06/08/2018 06:18:00,265,0,0,0,1440,254,227.914
06/08/2018 06:19:00,262,0,0,0,1440,254,234.093
06/08/2018 06:20:00,231,0,0,0,1440,254,231.154
06/08/2018 06:21:00,236,0,0,0,1440,254,232.032
06/08/2018 06:22:00,241,0,0,0,1440,254,233.658
06/08/2018 06:23:00,254,0,0,0,1440,254,237.345
06/08/2018 06:24:00,248,0,0,0,1440,254,239.277
06/08/2018 06:25:00,238,0,0,0,1440,254,238.064
