Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
06/08/2018 04:45:00,0,0,0,0,1440,254,0
06/08/2018 04:46:00,0,0,0,0,1440,254,0
06/08/2018 04:47:00,0,0,0,0,1440,254,0
06/08/2018 04:48:00,0,0,0,0,1440,254,0
06/08/2018 04:49:00,0,0,0,0,1440,254,0
06/08/2018 04:50:00,0,0,0,0,1440,254,0
06/08/2018 04:51:00,0,0,0,0,1440,254,0
06/08/2018 04:52:00,0,0,0,0,1440,254,0
06/08/2018 04:53:00,0,0,0,0,1440,254,0
06/08/2018 04:54:00,0,0,0,0,1440,254,0
06/08/2018 04:55:00,0,0,0,0,1440,254,0
06/08/2018 04:56:00,0,0,0,0,1440,254,0
06/08/2018 04:57:00,0,0,0,0,1440,254,0
06/08/2018 04:58:00,21,0,0,0,1440,254,19.9545
06/08/2018 04:59:00,22,0,0,0,1440,254,21.8982
06/08/2018 05:00:00,23,0,0,0,1440,254,22.9451
06/08/2018 05:01:00,27,0,0,0,1440,254,26.7981
06/08/2018 05:02:00,26,0,0,0,1440,254,26.7222
06/08/2018 05:03:00,26,0,0,0,1440,254,26.6534
06/08/2018 05:04:00,33,0,0,0,1440,254,32.684
06/08/2018 05:05:00,38,0,0,0,1440,254,37.7353
06/08/2018 05:06:00,41,0,0,0,1440,254,40.8375
06/08/2018 05:07:00,45,0,0,0,1440,254,44.7928
06/08/2018 05:08:00,49,0,0,0,1440,254,48.7905
06/08/2018 05:09:00,54,0,0,0,1440,254,53.7406
06/08/2018 05:10:00,54,0,0,0,1440,254,53.9871
06/08/2018 05:11:00,63,0,0,0,1440,254,62.5513
06/08/2018 05:12:00,66,0,0,0,1440,254,65.8283
06/08/2018 05:13:00,66,0,0,0,1440,254,65.9915
06/08/2018 05:14:00,69,0,0,0,1440,254,68.8502
06/08/2018 05:15:00,77,0,0,0,1440,254,76.5942
06/08/2018 05:16:00,87,0,0,0,1440,254,86.4819
06/08/2018 05:17:00,95,0,0,0,1440,254,94.5759
06/08/2018 05:18:00,93,0,0,0,1440,254,94.4259
06/08/2018 05:19:00,92,0,0,0,1440,254,94.1951
06/08/2018 05:20:00,96,0,0,0,1440,254,95.9101
06/08/2018 05:21:00,102,0,0,0,1440,254,101.697
06/08/2018 05:22:00,114,0,0,0,1440,254,113.387
06/08/2018 05:23:00,123,0,0,0,1440,254,122.521
06/08/2018 05:24:00,123,0,0,0,1440,254,122.976
06/08/2018 05:25:00,141,0,0,0,1440,254,140.103
06/08/2018 05:26:00,148,0,0,0,1440,254,147.607
06/08/2018 05:27:00,153,0,0,0,1440,254,152.731
06/08/2018 05:28:00,155,0,0,0,1440,254,154.887
06/08/2018 05:29:00,154,0,0,0,1440,254,154.803
06/08/2018 05:30:00,151,0,0,0,1440,254,154.441
06/08/2018 05:31:00,151,0,0,0,1440,254,154.113
06/08/2018 05:32:00,178,0,0,0,1440,254,176.811
06/08/2018 05:33:00,186,0,0,0,1440,254,185.542
06/08/2018 05:34:00,197,0,0,0,1440,254,196.43
06/08/2018 05:35:00,204,0,0,0,1440,254,203.623
06/08/2018 05:36:00,212,0,0,0,1440,254,211.583
06/08/2018 05:37:00,217,0,0,0,1440,254,216.73
06/08/2018 05:38:00,217,0,0,0,1440,254,216.987
06/08/2018 05:39:00,243,0,0,0,1440,254,241.705
06/08/2018 05:40:00,245,0,0,0,1440,254,244.836
06/08/2018 05:41:00,254,0,0,0,1440,254,253.544
06/08/2018 05:42:00,257,0,0,0,1440,254,256.828
06/08/2018 05:43:00,261,0,0,0,1440,254,260.792
06/08/2018 05:44:00,263,0,0,0,1440,254,262.89
06/08/2018 05:45:00,261,0,0,0,1440,254,262.71
06/08/2018 05:46:00,261,0,0,0,1440,254,262.547
06/08/2018 05:47:00,256,0,0,0,1440,254,261.924
06/08/2018 05:48:00,248,0,0,0,1440,254,260.599
06/08/2018 05:49:00,256,0,0,0,1440,254,260.162
06/08/2018 05:50:00,256,0,0,0,1440,254,259.766
06/08/2018 05:51:00,263,0,0,0,1440,254,262.839
06/08/2018 05:52:00,263,0,0,0,1440,254,262.992
06/08/2018 05:53:00,269,0,0,0,1440,254,268.701
06/08/2018 05:54:00,275,0,0,0,1440,254,274.686
06/08/2018 05:55:00,276,0,0,0,1440,254,275.935
06/08/2018 05:56:00,276,0,0,0,1440,254,275.997
06/08/2018 05:57:00,271,0,0,0,1440,254,275.521
06/08/2018 05:58:00,281,0,0,0,1440,254,280.727
06/08/2018 05:59:00,295,0,0,0,1440,254,294.289
06/08/2018 06:00:00,312,0,0,0,1440,254,311.118
06/08/2018 06:01:00,309,0,0,0,1440,254,310.917
06/08/2018 06:02:00,291,0,0,0,1440,254,309.021
06/08/2018 06:03:00,261,0,0,0,1440,254,304.452
06/08/2018 06:04:00,244,0,0,0,1440,254,298.699
06/08/2018 06:05:00,236,0,0,0,1440,254,292.732
06/08/2018 06:06:00,230,0,0,0,1440,254,286.762
06/08/2018 06:07:00,225,0,0,0,1440,254,280.885
06/08/2018 06:08:00,224,0,0,0,1440,254,275.472
06/08/2018 06:09:00,226,0,0,0,1440,254,270.764
06/08/2018 06:10:00,226,0,0,0,1440,254,266.504
06/08/2018 06:11:00,227,0,0,0,1440,254,262.745
06/08/2018 06:12:00,229,0,0,0,1440,254,259.533
06/08/2018 06:13:00,216,0,0,0,1440,254,255.391
06/08/2018 06:14:00,210,0,0,0,1440,254,251.071
06/08/2018 06:15:00,207,0,0,0,1440,254,246.877
06/08/2018 06:16:00,232,0,0,0,1440,254,245.462
06/08/2018 06:17:00,256,0,0,0,1440,254,255.475
06/08/2018 06:18:00,265,0,0,0,1440,254,264.526
06/08/2018 06:19:00,262,0,0,0,1440,254,264.285
06/08/2018 06:20:00,231,0,0,0,1440,254,261.118
06/08/2018 06:21:00,236,0,0,0,1440,254,258.728
06/08/2018 06:22:00,241,0,0,0,1440,254,257.041
06/08/2018 06:23:00,254,0,0,0,1440,254,256.751
06/08/2018 06:24:00,248,0,0,0,1440,254,255.918
06/08/2018 06:25:00,238,0,0,0,1440,254,254.213
