Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
16/03/2020 06:40:00,4,0,0,0,1440,254,1.6
16/03/2020 06:41:00,5,0,0,0,1440,254,2.96
16/03/2020 06:42:00,6,0,0,0,1440,254,4.176
16/03/2020 06:43:00,5,0,0,0,1440,254,4.5056
16/03/2020 06:44:00,6,0,0,0,1440,254,5.10336
16/03/2020 06:45:00,8,0,0,0,1440,254,6.26202
16/03/2020 06:46:00,8,0,0,0,1440,254,6.95721
16/03/2020 06:47:00,6,0,0,0,1440,254,6.90935
16/03/2020 06:48:00,7,0,0,0,1440,254,6.94561
16/03/2020 06:49:00,5,0,0,0,1440,254,6.84833
16/03/2020 06:50:00,8,0,0,0,1440,254,7.309
16/03/2020 06:51:00,5,0,0,0,1440,254,7.19355
16/03/2020 06:52:00,4,0,0,0,1440,254,7.03387
16/03/2020 06:53:00,6,0,0,0,1440,254,6.98218
16/03/2020 06:54:00,7,0,0,0,1440,254,6.98931
16/03/2020 06:55:00,6,0,0,0,1440,254,6.93984
16/03/2020 06:56:00,-23,0,0,0,1440,254,6.59285
16/03/2020 06:57:00,7,0,0,0,1440,254,6.75571
16/03/2020 06:58:00,5,0,0,0,1440,254,6.66792
16/03/2020 06:59:00,5,0,0,0,1440,254,6.58453
16/03/2020 07:00:00,39,0,0,0,1440,254,19.5507
16/03/2020 07:01:00,46,0,0,0,1440,254,30.1304
16/03/2020 07:02:00,60,0,0,0,1440,254,42.0783
16/03/2020 07:03:00,71,0,0,0,1440,254,53.647
16/03/2020 07:04:00,83,0,0,0,1440,254,65.3882
16/03/2020 07:05:00,86,0,0,0,1440,254,73.6329
16/03/2020 07:06:00,97,0,0,0,1440,254,82.9797
16/03/2020 07:07:00,99,0,0,0,1440,254,89.3878
16/03/2020 07:08:00,107,0,0,0,1440,254,96.4327
16/03/2020 07:09:00,90,0,0,0,1440,254,96.1111
16/03/2020 07:10:00,75,0,0,0,1440,254,95.0555
16/03/2020 07:11:00,72,0,0,0,1440,254,93.9027
16/03/2020 07:12:00,56,0,0,0,1440,254,92.0076
16/03/2020 07:13:00,55,0,0,0,1440,254,90.1572
16/03/2020 07:14:00,58,0,0,0,1440,254,88.5494
16/03/2020 07:15:00,75,0,0,0,1440,254,87.8719
16/03/2020 07:16:00,60,0,0,0,1440,254,86.4783
16/03/2020 07:17:00,51,0,0,0,1440,254,84.7044
16/03/2020 07:18:00,54,0,0,0,1440,254,83.1692
16/03/2020 07:19:00,61,0,0,0,1440,254,82.0607
16/03/2020 07:20:00,57,0,0,0,1440,254,80.8077
16/03/2020 07:21:00,49,0,0,0,1440,254,79.2173
16/03/2020 07:22:00,54,0,0,0,1440,254,77.9564
16/03/2020 07:23:00,51,0,0,0,1440,254,76.6086
16/03/2020 07:24:00,47,0,0,0,1440,254,75.1282
16/03/2020 07:25:00,57,0,0,0,1440,254,74.2218
16/03/2020 07:26:00,69,0,0,0,1440,254,73.9607
16/03/2020 07:27:00,79,0,0,0,1440,254,75.9764
16/03/2020 07:28:00,72,0,0,0,1440,254,75.7776
16/03/2020 07:29:00,84,0,0,0,1440,254,79.0666
16/03/2020 07:30:00,83,0,0,0,1440,254,80.6399
16/03/2020 07:31:00,86,0,0,0,1440,254,82.784
16/03/2020 07:32:00,94,0,0,0,1440,254,87.2704
16/03/2020 07:33:00,88,0,0,0,1440,254,87.5622
16/03/2020 07:34:00,87,0,0,0,1440,254,87.5341
16/03/2020 07:35:00,84,0,0,0,1440,254,87.3574
16/03/2020 07:36:00,102,0,0,0,1440,254,93.2144
16/03/2020 07:37:00,119,0,0,0,1440,254,103.529
16/03/2020 07:38:00,134,0,0,0,1440,254,115.717
16/03/2020 07:39:00,145,0,0,0,1440,254,127.43
16/03/2020 07:40:00,151,0,0,0,1440,254,136.858
16/03/2020 07:41:00,136,0,0,0,1440,254,136.815
16/03/2020 07:42:00,139,0,0,0,1440,254,137.689
16/03/2020 07:43:00,122,0,0,0,1440,254,136.905
16/03/2020 07:44:00,116,0,0,0,1440,254,135.859
16/03/2020 07:45:00,111,0,0,0,1440,254,134.617
16/03/2020 07:46:00,112,0,0,0,1440,254,133.486
16/03/2020 07:47:00,126,0,0,0,1440,254,133.111
16/03/2020 07:48:00,123,0,0,0,1440,254,132.606
16/03/2020 07:49:00,123,0,0,0,1440,254,132.126
16/03/2020 07:50:00,122,0,0,0,1440,254,131.619
16/03/2020 07:51:00,132,0,0,0,1440,254,131.772
16/03/2020 07:52:00,147,0,0,0,1440,254,137.863
16/03/2020 07:53:00,153,0,0,0,1440,254,143.918
16/03/2020 07:54:00,148,0,0,0,1440,254,145.551
16/03/2020 07:55:00,137,0,0,0,1440,254,145.123
16/03/2020 07:56:00,177,0,0,0,1440,254,157.874
16/03/2020 07:57:00,171,0,0,0,1440,254,163.124
16/03/2020 07:58:00,167,0,0,0,1440,254,164.675
16/03/2020 07:59:00,170,0,0,0,1440,254,166.805
16/03/2020 08:00:00,178,0,0,0,1440,254,171.283
16/03/2020 08:01:00,180,0,0,0,1440,254,174.77
16/03/2020 08:02:00,181,0,0,0,1440,254,177.262
16/03/2020 08:03:00,188,0,0,0,1440,254,181.557
16/03/2020 08:04:00,192,0,0,0,1440,254,185.734
16/03/2020 08:05:00,202,0,0,0,1440,254,192.241
16/03/2020 08:06:00,205,0,0,0,1440,254,197.344
16/03/2020 08:07:00,228,0,0,0,1440,254,209.607
16/03/2020 08:08:00,238,0,0,0,1440,254,220.964
16/03/2020 08:09:00,234,0,0,0,1440,254,226.178
16/03/2020 08:10:00,247,0,0,0,1440,254,234.507
16/03/2020 08:11:00,250,0,0,0,1440,254,240.704
16/03/2020 08:12:00,254,0,0,0,1440,254,246.023
16/03/2020 08:13:00,264,0,0,0,1440,254,253.214
16/03/2020 08:14:00,262,0,0,0,1440,254,256.728
16/03/2020 08:15:00,275,0,0,0,1440,254,264.037
16/03/2020 08:17:00,281,0,0,0,1440,254,270.822
16/03/2020 08:18:00,294,0,0,0,1440,254,280.093
16/03/2020 08:19:00,308,0,0,0,1440,254,291.256
16/03/2020 08:20:00,323,0,0,0,1440,254,303.954
16/03/2020 08:21:00,322,0,0,0,1440,254,311.172
16/03/2020 08:22:00,329,0,0,0,1440,254,318.303
16/03/2020 08:23:00,349,0,0,0,1440,254,330.582
16/03/2020 08:24:00,415,0,0,0,1440,254,364.349
16/03/2020 08:25:00,474,0,0,0,1440,254,408.21
16/03/2020 08:26:00,633,0,0,0,1440,254,498.126
16/03/2020 08:27:00,766,0,0,0,1440,254,605.275
16/03/2020 08:28:00,1044,0,0,0,1440,254,780.765
16/03/2020 08:29:00,1215,0,0,0,1440,254,954.459
16/03/2020 08:30:00,1365,0,0,0,1440,254,1118.68
16/03/2020 08:31:00,1513,0,0,0,1440,254,1276.41
16/03/2020 08:32:00,1670,0,0,0,1440,254,1433.84
16/03/2020 08:33:00,1416,0,0,0,1440,254,1432.95
16/03/2020 08:34:00,1847,0,7,1680,1440,3,1598.57
16/03/2020 08:35:00,1864,0,7,1680,1440,3,1704.74
16/03/2020 08:36:00,1556,0,6,1440,1440,3,1697.31
16/03/2020 08:37:00,416,0,6,1440,1440,3,1633.24
16/03/2020 08:38:00,440,0,6,1440,1440,3,1573.58
16/03/2020 08:39:00,470,0,6,1440,1440,3,1518.4
16/03/2020 08:40:00,607,0,6,1440,1440,3,1472.83
16/03/2020 08:41:00,708,0,6,1440,1440,3,1434.59
16/03/2020 08:42:00,1306,0,6,1440,1440,3,1428.16
16/03/2020 08:43:00,522,0,6,1440,1440,3,1382.85
16/03/2020 08:44:00,531,0,6,1440,1440,3,1340.26
16/03/2020 08:45:00,547,0,0,0,1440,254,1300.59
16/03/2020 08:46:00,1028,0,0,0,1440,254,1286.97
16/03/2020 08:47:00,924,0,0,0,1440,254,1268.82
16/03/2020 08:48:00,614,0,0,0,1440,254,1236.08
16/03/2020 08:49:00,614,0,0,0,1440,254,1204.97
16/03/2020 08:50:00,534,0,0,0,1440,254,1171.42
16/03/2020 08:51:00,379,0,0,0,1440,254,1131.8
16/03/2020 08:52:00,460,0,0,0,1440,254,1098.21
16/03/2020 08:53:00,1926,0,0,0,1440,254,1429.33
16/03/2020 08:54:00,830,0,0,0,1440,254,1399.36
16/03/2020 08:55:00,542,0,0,0,1440,254,1356.49
16/03/2020 08:56:00,642,0,0,0,1440,254,1320.77
16/03/2020 08:57:00,772,0,0,0,1440,254,1293.33
16/03/2020 08:58:00,1668,0,6,1440,1440,3,1443.2
16/03/2020 08:59:00,2363,0,9,2160,1440,3,1811.12
16/03/2020 09:00:00,761,0,6,1440,1440,3,1758.61
16/03/2020 09:01:00,1049,0,6,1440,1440,3,1723.13
16/03/2020 09:02:00,1896,0,7,1680,1440,3,1792.28
16/03/2020 09:03:00,973,0,6,1440,1440,3,1751.32
16/03/2020 09:04:00,548,0,6,1440,1440,3,1691.15
16/03/2020 09:05:00,438,0,6,1440,1440,3,1628.49
16/03/2020 09:06:00,428,0,6,1440,1440,3,1568.47
16/03/2020 09:07:00,461,0,6,1440,1440,3,1513.09
16/03/2020 09:08:00,327,0,6,1440,1440,3,1453.79
16/03/2020 09:09:00,405,0,0,0,1440,254,1401.35
16/03/2020 09:10:00,478,0,0,0,1440,254,1355.18
16/03/2020 09:11:00,770,0,0,0,1440,254,1325.92
16/03/2020 09:12:00,1272,0,0,0,1440,254,1323.23
16/03/2020 09:13:00,691,0,0,0,1440,254,1291.62
16/03/2020 09:14:00,1073,0,0,0,1440,254,1280.69
16/03/2020 09:15:00,600,0,0,0,1440,254,1246.65
16/03/2020 09:16:00,787,0,0,0,1440,254,1223.67
16/03/2020 09:17:00,619,0,0,0,1440,254,1193.43
16/03/2020 09:18:00,531,0,0,0,1440,254,1160.31
16/03/2020 09:19:00,1964,0,8,1920,1440,3,1481.79
16/03/2020 09:20:00,2040,0,8,1920,1440,3,1705.07
16/03/2020 09:21:00,1524,0,6,1440,1440,3,1696.02
16/03/2020 09:22:00,2002,0,8,1920,1440,3,1818.41
16/03/2020 09:23:00,1688,0,7,1680,1440,3,1811.89
16/03/2020 09:24:00,1786,0,7,1680,1440,3,1810.6
16/03/2020 09:25:00,1742,0,7,1680,1440,3,1807.17
16/03/2020 09:26:00,1740,0,7,1680,1440,3,1803.81
16/03/2020 09:27:00,1840,0,7,1680,1440,3,1818.28
16/03/2020 09:28:00,2068,0,8,1920,1440,3,1918.17
16/03/2020 09:29:00,2290,0,9,2160,1440,3,2066.9
16/03/2020 09:30:00,2343,0,9,2160,1440,3,2177.34
16/03/2020 09:31:00,2230,0,9,2160,1440,3,2198.4
16/03/2020 09:32:00,2319,0,9,2160,1440,3,2246.64
16/03/2020 09:33:00,1780,0,7,1680,1440,3,2223.31
16/03/2020 09:34:00,2273,0,9,2160,1440,3,2243.19
16/03/2020 09:35:00,394,0,6,1440,1440,3,2150.73
16/03/2020 09:36:00,378,0,6,1440,1440,3,2062.09
16/03/2020 09:37:00,406,0,6,1440,1440,3,1979.29
16/03/2020 09:38:00,2217,0,9,2160,1440,3,2074.37
16/03/2020 09:39:00,353,0,6,1440,1440,3,1988.3
16/03/2020 09:40:00,371,0,6,1440,1440,3,1907.44
