Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
16/03/2020 06:40:00,4,0,0,0,1440,254,0
16/03/2020 06:41:00,5,0,0,0,1440,254,4.75106
16/03/2020 06:42:00,6,0,0,0,1440,254,5.93782
16/03/2020 06:43:00,5,0,0,0,1440,254,5.84857
16/03/2020 06:44:00,6,0,0,0,1440,254,5.99246
16/03/2020 06:45:00,8,0,0,0,1440,254,7.90005
16/03/2020 06:46:00,8,0,0,0,1440,254,7.99502
16/03/2020 06:47:00,6,0,0,0,1440,254,7.80517
16/03/2020 06:48:00,7,0,0,0,1440,254,7.72855
16/03/2020 06:49:00,5,0,0,0,1440,254,7.46889
16/03/2020 06:50:00,8,0,0,0,1440,254,7.97356
16/03/2020 06:51:00,5,0,0,0,1440,254,7.69059
16/03/2020 06:52:00,4,0,0,0,1440,254,7.33938
16/03/2020 06:53:00,6,0,0,0,1440,254,7.21192
16/03/2020 06:54:00,7,0,0,0,1440,254,7.19175
16/03/2020 06:55:00,6,0,0,0,1440,254,7.07834
16/03/2020 06:56:00,-23,0,0,0,1440,254,6.40475
16/03/2020 06:57:00,7,0,0,0,1440,254,6.97036
16/03/2020 06:58:00,5,0,0,0,1440,254,6.78286
16/03/2020 06:59:00,5,0,0,0,1440,254,6.6132
16/03/2020 07:00:00,39,0,0,0,1440,254,37.3876
16/03/2020 07:01:00,46,0,0,0,1440,254,45.5712
16/03/2020 07:02:00,60,0,0,0,1440,254,59.2816
16/03/2020 07:03:00,71,0,0,0,1440,254,70.4166
16/03/2020 07:04:00,83,0,0,0,1440,254,82.3735
16/03/2020 07:05:00,86,0,0,0,1440,254,85.8194
16/03/2020 07:06:00,97,0,0,0,1440,254,96.4434
16/03/2020 07:07:00,99,0,0,0,1440,254,98.8727
16/03/2020 07:08:00,107,0,0,0,1440,254,106.595
16/03/2020 07:09:00,90,0,0,0,1440,254,105.016
16/03/2020 07:10:00,75,0,0,0,1440,254,102.16
16/03/2020 07:11:00,72,0,0,0,1440,254,99.2896
16/03/2020 07:12:00,56,0,0,0,1440,254,95.1701
16/03/2020 07:13:00,55,0,0,0,1440,254,91.3474
16/03/2020 07:14:00,58,0,0,0,1440,254,88.174
16/03/2020 07:15:00,75,0,0,0,1440,254,86.9203
16/03/2020 07:16:00,60,0,0,0,1440,254,84.3585
16/03/2020 07:17:00,51,0,0,0,1440,254,81.184
16/03/2020 07:18:00,54,0,0,0,1440,254,78.5971
16/03/2020 07:19:00,61,0,0,0,1440,254,76.9225
16/03/2020 07:20:00,57,0,0,0,1440,254,75.0266
16/03/2020 07:21:00,49,0,0,0,1440,254,72.5499
16/03/2020 07:22:00,54,0,0,0,1440,254,70.7846
16/03/2020 07:23:00,51,0,0,0,1440,254,68.9019
16/03/2020 07:24:00,47,0,0,0,1440,254,66.8176
16/03/2020 07:25:00,57,0,0,0,1440,254,65.8834
16/03/2020 07:26:00,69,0,0,0,1440,254,68.8448
16/03/2020 07:27:00,79,0,0,0,1440,254,78.4944
16/03/2020 07:28:00,72,0,0,0,1440,254,77.8764
16/03/2020 07:29:00,84,0,0,0,1440,254,83.6951
16/03/2020 07:30:00,83,0,0,0,1440,254,83.629
16/03/2020 07:31:00,86,0,0,0,1440,254,85.882
16/03/2020 07:32:00,94,0,0,0,1440,254,93.5958
16/03/2020 07:33:00,88,0,0,0,1440,254,93.0633
16/03/2020 07:34:00,87,0,0,0,1440,254,92.4863
16/03/2020 07:35:00,84,0,0,0,1440,254,91.6787
16/03/2020 07:36:00,102,0,0,0,1440,254,101.486
16/03/2020 07:37:00,119,0,0,0,1440,254,118.128
16/03/2020 07:38:00,134,0,0,0,1440,254,133.21
16/03/2020 07:39:00,145,0,0,0,1440,254,144.413
16/03/2020 07:40:00,151,0,0,0,1440,254,150.672
16/03/2020 07:41:00,136,0,0,0,1440,254,149.276
16/03/2020 07:42:00,139,0,0,0,1440,254,148.298
16/03/2020 07:43:00,122,0,0,0,1440,254,145.795
16/03/2020 07:44:00,116,0,0,0,1440,254,142.96
16/03/2020 07:45:00,111,0,0,0,1440,254,139.919
16/03/2020 07:46:00,112,0,0,0,1440,254,137.262
16/03/2020 07:47:00,126,0,0,0,1440,254,136.19
16/03/2020 07:48:00,123,0,0,0,1440,254,134.935
16/03/2020 07:49:00,123,0,0,0,1440,254,133.799
16/03/2020 07:50:00,122,0,0,0,1440,254,132.676
16/03/2020 07:51:00,132,0,0,0,1440,254,132.612
16/03/2020 07:52:00,147,0,0,0,1440,254,146.284
16/03/2020 07:53:00,153,0,0,0,1440,254,152.666
16/03/2020 07:54:00,148,0,0,0,1440,254,152.222
16/03/2020 07:55:00,137,0,0,0,1440,254,150.773
16/03/2020 07:56:00,177,0,0,0,1440,254,175.694
16/03/2020 07:57:00,171,0,0,0,1440,254,175.248
16/03/2020 07:58:00,167,0,0,0,1440,254,174.463
16/03/2020 07:59:00,170,0,0,0,1440,254,174.038
16/03/2020 08:00:00,178,0,0,0,1440,254,177.803
16/03/2020 08:01:00,180,0,0,0,1440,254,179.891
16/03/2020 08:02:00,181,0,0,0,1440,254,180.945
16/03/2020 08:03:00,188,0,0,0,1440,254,187.649
16/03/2020 08:04:00,192,0,0,0,1440,254,191.783
16/03/2020 08:05:00,202,0,0,0,1440,254,201.491
16/03/2020 08:06:00,205,0,0,0,1440,254,204.825
16/03/2020 08:07:00,228,0,0,0,1440,254,226.846
16/03/2020 08:08:00,238,0,0,0,1440,254,237.445
16/03/2020 08:09:00,234,0,0,0,1440,254,237.117
