Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
18/09/2019 05:55:00,6,0,0,0,1440,254,0
18/09/2019 05:56:00,7,0,0,0,1440,254,6.65149
18/09/2019 05:57:00,8,0,0,0,1440,254,7.93286
18/09/2019 05:58:00,4,0,0,0,1440,254,7.5586
18/09/2019 05:59:00,5,0,0,0,1440,254,7.31512
18/09/2019 06:00:00,7,0,0,0,1440,254,7.28513
18/09/2019 06:02:00,8,0,0,0,1440,254,7.99823
18/09/2019 06:03:00,7,0,0,0,1440,254,7.90323
18/09/2019 06:04:00,5,0,0,0,1440,254,7.62695
18/09/2019 06:05:00,7,0,0,0,1440,254,7.56729
18/09/2019 06:06:00,7,0,0,0,1440,254,7.51331
18/09/2019 06:07:00,7,0,0,0,1440,254,7.46446
18/09/2019 06:08:00,6,0,0,0,1440,254,7.3251
18/09/2019 06:09:00,6,0,0,0,1440,254,7.199
18/09/2019 06:10:00,5,0,0,0,1440,254,6.98974
18/09/2019 06:11:00,5,0,0,0,1440,254,6.80039
18/09/2019 06:12:00,8,0,0,0,1440,254,7.94027
18/09/2019 06:13:00,8,0,0,0,1440,254,7.99703
18/09/2019 06:14:00,3,0,0,0,1440,254,7.5215
18/09/2019 06:15:00,6,0,0,0,1440,254,7.37671
18/09/2019 06:16:00,7,0,0,0,1440,254,7.34086
18/09/2019 06:17:00,5,0,0,0,1440,254,7.1181
18/09/2019 06:18:00,5,0,0,0,1440,254,6.91653
18/09/2019 06:19:00,6,0,0,0,1440,254,6.82931
18/09/2019 06:20:00,7,0,0,0,1440,254,6.9915
18/09/2019 06:21:00,4,0,0,0,1440,254,6.70682
18/09/2019 06:22:00,6,0,0,0,1440,254,6.63956
18/09/2019 06:23:00,6,0,0,0,1440,254,6.5787
18/09/2019 06:24:00,6,0,0,0,1440,254,6.52363
18/09/2019 06:25:00,7,0,0,0,1440,254,6.97628
18/09/2019 06:26:00,7,0,0,0,1440,254,6.99882
18/09/2019 06:27:00,6,0,0,0,1440,254,6.90377
18/09/2019 06:28:00,5,0,0,0,1440,254,6.7226
18/09/2019 06:29:00,7,0,0,0,1440,254,6.98619
18/09/2019 06:30:00,6,0,0,0,1440,254,6.89234
18/09/2019 06:31:00,6,0,0,0,1440,254,6.80742
18/09/2019 06:32:00,-19,0,0,0,1440,254,6.15961
18/09/2019 06:33:00,24,0,0,0,1440,254,23.1118
18/09/2019 06:34:00,22,0,0,0,1440,254,23.006
18/09/2019 06:35:00,26,0,0,0,1440,254,25.8509
18/09/2019 06:36:00,34,0,0,0,1440,254,33.5943
18/09/2019 06:37:00,25,0,0,0,1440,254,32.7764
18/09/2019 06:38:00,34,0,0,0,1440,254,33.9391
18/09/2019 06:39:00,30,0,0,0,1440,254,33.5642
18/09/2019 06:40:00,33,0,0,0,1440,254,33.5105
18/09/2019 06:41:00,30,0,0,0,1440,254,33.1765
18/09/2019 06:42:00,23,0,0,0,1440,254,32.208
18/09/2019 06:43:00,35,0,0,0,1440,254,34.861
18/09/2019 06:45:00,34,0,0,0,1440,254,34.7049
18/09/2019 06:46:00,35,0,0,0,1440,254,34.9853
18/09/2019 06:47:00,40,0,0,0,1440,254,39.7503
18/09/2019 06:48:00,45,0,0,0,1440,254,44.7386
18/09/2019 06:49:00,23,0,0,0,1440,254,42.6699
18/09/2019 06:50:00,45,0,0,0,1440,254,44.884
18/09/2019 06:51:00,52,0,0,0,1440,254,51.6457
18/09/2019 06:52:00,44,0,0,0,1440,254,50.9181
18/09/2019 06:53:00,41,0,0,0,1440,254,49.9743
18/09/2019 06:54:00,51,0,0,0,1440,254,50.9489
18/09/2019 06:55:00,50,0,0,0,1440,254,50.8586
18/09/2019 06:56:00,54,0,0,0,1440,254,53.8436
18/09/2019 06:57:00,49,0,0,0,1440,254,53.3827
18/09/2019 06:58:00,44,0,0,0,1440,254,52.4898
18/09/2019 06:59:00,60,0,0,0,1440,254,59.6261
18/09/2019 07:00:00,52,0,0,0,1440,254,58.9004
18/09/2019 07:01:00,60,0,0,0,1440,254,59.9453
18/09/2019 07:02:00,63,0,0,0,1440,254,62.8479
18/09/2019 07:03:00,66,0,0,0,1440,254,65.8431
18/09/2019 07:04:00,70,0,0,0,1440,254,69.793
18/09/2019 07:05:00,67,0,0,0,1440,254,69.5272
18/09/2019 07:06:00,65,0,0,0,1440,254,69.0964
18/09/2019 07:07:00,63,0,0,0,1440,254,68.5163
18/09/2019 07:08:00,68,0,0,0,1440,254,68.4671
18/09/2019 07:09:00,65,0,0,0,1440,254,68.1372
18/09/2019 07:10:00,77,0,0,0,1440,254,76.5587
18/09/2019 07:11:00,84,0,0,0,1440,254,83.6295
18/09/2019 07:12:00,91,0,0,0,1440,254,90.633
18/09/2019 07:13:00,91,0,0,0,1440,254,90.9817
18/09/2019 07:14:00,99,0,0,0,1440,254,98.6008
18/09/2019 07:15:00,93,0,0,0,1440,254,98.0678
18/09/2019 07:16:00,95,0,0,0,1440,254,97.7759
18/09/2019 07:17:00,102,0,0,0,1440,254,101.79
18/09/2019 07:18:00,101,0,0,0,1440,254,101.715
18/09/2019 07:19:00,102,0,0,0,1440,254,101.986
18/09/2019 07:20:00,100,0,0,0,1440,254,101.797
18/09/2019 07:21:00,100,0,0,0,1440,254,101.626
18/09/2019 07:22:00,102,0,0,0,1440,254,101.981
18/09/2019 07:23:00,98,0,0,0,1440,254,101.602
18/09/2019 07:24:00,103,0,0,0,1440,254,102.93
18/09/2019 07:25:00,108,0,0,0,1440,254,107.748
18/09/2019 07:26:00,105,0,0,0,1440,254,107.486
18/09/2019 07:27:00,105,0,0,0,1440,254,107.25
18/09/2019 07:28:00,96,0,0,0,1440,254,106.179
18/09/2019 07:29:00,104,0,0,0,1440,254,105.972
18/09/2019 07:30:00,102,0,0,0,1440,254,105.594
18/09/2019 07:31:00,106,0,0,0,1440,254,105.98
18/09/2019 07:32:00,99,0,0,0,1440,254,105.316
18/09/2019 07:33:00,111,0,0,0,1440,254,110.717
18/09/2019 07:34:00,103,0,0,0,1440,254,109.983
18/09/2019 07:35:00,104,0,0,0,1440,254,109.413
18/09/2019 07:36:00,102,0,0,0,1440,254,108.708
18/09/2019 07:37:00,102,0,0,0,1440,254,108.069
18/09/2019 07:38:00,104,0,0,0,1440,254,107.682
18/09/2019 07:40:00,111,0,0,0,1440,254,110.992
18/09/2019 07:41:00,108,0,0,0,1440,254,110.707
18/09/2019 07:42:00,112,0,0,0,1440,254,111.936
18/09/2019 07:43:00,118,0,0,0,1440,254,117.698
18/09/2019 07:44:00,113,0,0,0,1440,254,117.251
18/09/2019 07:45:00,117,0,0,0,1440,254,117.227
18/09/2019 07:46:00,126,0,0,0,1440,254,125.563
18/09/2019 07:47:00,123,0,0,0,1440,254,125.319
18/09/2019 07:48:00,122,0,0,0,1440,254,125.003
18/09/2019 07:50:00,122,0,0,0,1440,254,124.459
18/09/2019 07:51:00,127,0,0,0,1440,254,126.873
18/09/2019 07:52:00,128,0,0,0,1440,254,127.944
18/09/2019 07:53:00,135,0,0,0,1440,254,134.649
18/09/2019 07:54:00,135,0,0,0,1440,254,134.983
18/09/2019 07:55:00,136,0,0,0,1440,254,135.949
18/09/2019 07:56:00,138,0,0,0,1440,254,137.898
18/09/2019 07:57:00,140,0,0,0,1440,254,139.895
18/09/2019 07:58:00,143,0,0,0,1440,254,142.845
18/09/2019 07:59:00,150,0,0,0,1440,254,149.644
18/09/2019 08:00:00,151,0,0,0,1440,254,150.932
18/09/2019 08:01:00,149,0,0,0,1440,254,150.749
18/09/2019 08:02:00,153,0,0,0,1440,254,152.888
18/09/2019 08:03:00,163,0,0,0,1440,254,162.497
18/09/2019 08:04:00,170,0,0,0,1440,254,169.626
18/09/2019 08:05:00,172,0,0,0,1440,254,171.882
18/09/2019 08:06:00,180,0,0,0,1440,254,179.596
18/09/2019 08:07:00,195,0,0,0,1440,254,194.233
18/09/2019 08:08:00,215,0,0,0,1440,254,213.966
18/09/2019 08:09:00,225,0,0,0,1440,254,224.451
18/09/2019 08:10:00,239,0,0,0,1440,254,238.276
18/09/2019 08:11:00,252,0,0,0,1440,254,251.317
18/09/2019 08:12:00,302,0,0,0,1440,254,299.477
18/09/2019 08:13:00,607,0,0,0,1440,254,591.689
18/09/2019 08:14:00,1064,0,0,0,1440,254,1040.49
18/09/2019 08:15:00,1344,0,0,0,1440,254,1328.89
18/09/2019 08:16:00,1502,0,0,0,1440,254,1493.38
18/09/2019 08:17:00,1576,0,6,1440,1440,3,1571.89
18/09/2019 08:18:00,1641,0,6,1440,1440,3,1637.56
18/09/2019 08:19:00,1723,0,7,1680,1440,3,1718.75
18/09/2019 08:20:00,1764,0,7,1680,1440,3,1761.75
18/09/2019 08:21:00,1796,0,7,1680,1440,3,1794.29
18/09/2019 08:22:00,1807,0,7,1680,1440,3,1806.37
