Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
14/06/2018 08:21:00,219,-27,0,0,1440,254,0
14/06/2018 08:22:00,198,-22,0,0,1440,254,0
14/06/2018 08:23:00,214,-13,0,0,1440,254,0
14/06/2018 08:24:00,263,-65,0,0,1440,254,0
14/06/2018 08:25:00,296,-98,0,0,1440,254,0
14/06/2018 08:26:00,266,-66,0,0,1440,254,0
14/06/2018 08:27:00,188,12,0,0,1440,254,0
14/06/2018 08:28:00,180,12,0,0,1440,254,0
14/06/2018 08:29:00,151,34,0,0,1440,254,0
14/06/2018 08:30:00,156,36,0,0,1440,254,0
14/06/2018 08:31:00,158,40,0,0,1440,254,0
14/06/2018 08:32:00,200,2,0,0,1440,254,0
14/06/2018 08:33:00,184,3044,0,0,1440,254,0
14/06/2018 08:34:00,207,-19,0,0,1440,254,0
14/06/2018 08:35:00,215,-41,0,0,1440,254,0
14/06/2018 08:36:00,256,-3,0,0,1440,254,0
14/06/2018 08:37:00,340,-148,0,0,1440,254,45.6102
14/06/2018 08:38:00,588,-378,0,0,1440,254,266.43
14/06/2018 08:39:00,646,764,0,0,1440,254,197.376
14/06/2018 08:40:00,495,925,0,0,1440,254,146.22
14/06/2018 08:41:00,407,-247,0,0,1440,254,146.961
14/06/2018 08:42:00,508,-298,0,0,1440,254,195.459
14/06/2018 08:43:00,472,-282,0,0,1440,254,191.971
14/06/2018 08:44:00,388,-202,0,0,1440,254,168.652
14/06/2018 08:45:00,401,-214,0,0,1440,254,154.487
14/06/2018 08:46:00,462,-288,0,0,1440,254,186.331
14/06/2018 08:47:00,481,-314,0,0,1440,254,212.622
14/06/2018 08:48:00,556,-278,0,0,1440,254,203.649
14/06/2018 08:49:00,458,-219,0,0,1440,254,181.709
14/06/2018 08:50:00,446,-193,0,0,1440,254,158.718
14/06/2018 08:51:00,446,-190,0,0,1440,254,140.907
14/06/2018 08:52:00,434,-179,0,0,1440,254,124.862
14/06/2018 08:53:00,413,-158,0,0,1440,254,107.533
14/06/2018 08:54:00,421,-158,0,0,1440,254,94.6947
14/06/2018 08:55:00,412,-74,0,0,1440,254,70.1515
14/06/2018 08:56:00,377,-50,0,0,1440,254,51.9695
14/06/2018 08:57:00,573,-237,0,0,1440,254,132.767
14/06/2018 08:58:00,535,-285,0,0,1440,254,182.399
14/06/2018 08:59:00,592,-271,0,0,1440,254,179.445
14/06/2018 09:00:00,552,-205,0,0,1440,254,160.15
14/06/2018 09:01:00,450,-137,0,0,1440,254,128.232
14/06/2018 09:02:00,693,-400,0,0,1440,254,291.448
14/06/2018 09:03:00,510,-214,0,0,1440,254,245.457
14/06/2018 09:04:00,2117,-1794,7,1680,1440,3,1621.88
14/06/2018 09:05:00,2703,-2329,9,2160,1440,3,2198.77
14/06/2018 09:06:00,527,-192,6,1440,1440,3,1652.74
14/06/2018 09:07:00,702,-404,6,1440,1440,3,1303.17
14/06/2018 09:08:00,748,-531,6,1440,1440,3,1077.12
14/06/2018 09:09:00,636,-389,6,1440,1440,3,872.852
14/06/2018 09:10:00,511,-284,6,1440,1440,3,694.314
14/06/2018 09:11:00,483,-298,6,1440,1440,3,565.679
14/06/2018 09:12:00,428,-245,6,1440,1440,3,456.646
14/06/2018 09:13:00,416,-237,6,1440,1440,3,373.8
14/06/2018 09:14:00,458,-283,6,1440,1440,3,324.348
14/06/2018 09:15:00,634,-441,0,0,1440,254,340.171
14/06/2018 09:16:00,755,-587,0,0,1440,254,479.69
14/06/2018 09:17:00,586,-488,0,0,1440,254,455.925
14/06/2018 09:18:00,601,-455,0,0,1440,254,429.767
14/06/2018 09:19:00,567,-386,0,0,1440,254,392.506
14/06/2018 09:20:00,442,-264,0,0,1440,254,333.281
14/06/2018 09:21:00,613,-409,0,0,1440,254,326.988
14/06/2018 09:22:00,670,-524,0,0,1440,254,419.17
14/06/2018 09:23:00,673,-449,0,0,1440,254,400.983
14/06/2018 09:24:00,521,-263,0,0,1440,254,339.302
14/06/2018 09:25:00,491,-333,0,0,1440,254,311.751
14/06/2018 09:26:00,701,-515,0,0,1440,254,409.86
14/06/2018 09:27:00,576,-415,0,0,1440,254,385.274
14/06/2018 09:28:00,789,-609,0,0,1440,254,502.84
14/06/2018 09:29:00,579,-398,0,0,1440,254,449.749
14/06/2018 09:30:00,464,-286,0,0,1440,254,381.39
14/06/2018 09:31:00,696,-469,0,0,1440,254,378.179
14/06/2018 09:32:00,744,-512,0,0,1440,254,410.316
14/06/2018 09:33:00,2944,-2705,10,2400,1440,3,2495.73
14/06/2018 09:34:00,645,-401,6,1440,1440,3,1926.9
14/06/2018 09:35:00,545,-305,6,1440,1440,3,1480.61
14/06/2018 09:36:00,587,-365,6,1440,1440,3,1165.55
14/06/2018 09:37:00,501,-243,6,1440,1440,3,900.523
14/06/2018 09:38:00,3033,-2777,11,2640,1440,3,2588.55
14/06/2018 09:39:00,567,2605,6,1440,1440,3,1917.65
14/06/2018 09:40:00,645,2595,6,1440,1440,3,1420.63
14/06/2018 09:41:00,2743,558,6,1440,1440,3,1052.43
14/06/2018 09:42:00,841,-699,6,1440,1440,3,934.907
14/06/2018 09:43:00,1204,-950,6,1440,1440,3,912.901
14/06/2018 09:44:00,737,-555,0,0,1440,254,794.221
14/06/2018 09:45:00,635,-452,0,0,1440,254,679.606
14/06/2018 09:46:00,627,-443,0,0,1440,254,592.364
14/06/2018 09:47:00,2376,-2487,9,2160,1440,3,2297.65
14/06/2018 09:48:00,1110,-909,6,1440,1440,3,1911.82
14/06/2018 09:49:00,1902,-1853,7,1680,1440,3,1870.66
14/06/2018 09:50:00,1142,-971,6,1440,1440,3,1611.56
14/06/2018 09:51:00,2222,-2069,8,1920,1440,3,1951.2
14/06/2018 09:52:00,736,-542,6,1440,1440,3,1560.05
14/06/2018 09:53:00,553,-377,6,1440,1440,3,1227.5
14/06/2018 09:54:00,735,-555,6,1440,1440,3,1027.28
14/06/2018 09:55:00,744,-579,6,1440,1440,3,885.179
14/06/2018 09:56:00,736,-565,6,1440,1440,3,776.277
14/06/2018 09:57:00,1500,-1308,6,1440,1440,3,1186.51
14/06/2018 09:58:00,831,-568,0,0,1440,254,1000.28
14/06/2018 09:59:00,2947,-2722,10,2400,1440,3,2541.26
14/06/2018 10:00:00,985,-717,6,1440,1440,3,2042.53
14/06/2018 10:01:00,832,-574,6,1440,1440,3,1635.99
14/06/2018 10:02:00,686,-407,0,0,1440,254,1291.54
14/06/2018 10:03:00,2302,-1953,7,1680,1440,3,1825.05
14/06/2018 10:04:00,718,-460,7,1680,1440,3,1445.33
14/06/2018 10:05:00,1045,-785,0,0,1440,254,1248.27
14/06/2018 10:06:00,842,-602,0,0,1440,254,1054.85
14/06/2018 10:07:00,778,-527,0,0,1440,254,892.122
14/06/2018 10:08:00,1450,-1223,0,0,1440,254,1111.51
14/06/2018 10:09:00,1065,-812,0,0,1440,254,1007.96
14/06/2018 10:10:00,1228,-1048,0,0,1440,254,992.42
14/06/2018 10:11:00,828,-649,0,0,1440,254,877.494
14/06/2018 10:12:00,861,-704,0,0,1440,254,806.609
14/06/2018 10:13:00,1103,-939,0,0,1440,254,837.387
14/06/2018 10:14:00,2984,-2823,11,2640,1440,3,2629.12
14/06/2018 10:15:00,1303,-1037,6,1440,1440,3,2190.55
14/06/2018 10:16:00,656,-418,6,1440,1440,3,1705.22
14/06/2018 10:17:00,454,-212,6,1440,1440,3,1292.29
14/06/2018 10:18:00,375,-129,6,1440,1440,3,964.867
14/06/2018 10:19:00,302,-44,6,1440,1440,3,714.791
14/06/2018 10:20:00,265,-14,6,1440,1440,3,529.53
14/06/2018 10:21:00,293,-51,6,1440,1440,3,392.286
14/06/2018 10:22:00,402,-182,6,1440,1440,3,311.865
14/06/2018 10:23:00,458,-240,6,1440,1440,3,267.321
14/06/2018 10:24:00,592,-394,6,1440,1440,3,292.672
14/06/2018 10:25:00,842,-676,0,0,1440,254,561.894
14/06/2018 10:26:00,1258,-1119,0,0,1440,254,996.242
14/06/2018 10:27:00,2267,-1803,7,1680,1440,3,1667.81
14/06/2018 10:28:00,1242,-1092,7,1680,1440,3,1492.65
14/06/2018 10:29:00,1845,1365,7,1680,1440,3,1105.79
14/06/2018 10:30:00,1135,2134,7,1680,1440,3,819.186
14/06/2018 10:31:00,759,2518,7,1680,1440,3,606.868
14/06/2018 10:32:00,599,2699,7,1680,1440,3,449.579
14/06/2018 10:33:00,287,3004,7,1680,1440,3,333.056
14/06/2018 10:34:00,235,-30,7,1680,1440,3,246.734
14/06/2018 10:35:00,177,22,7,1680,1440,3,182.785
14/06/2018 10:36:00,235,-42,7,1680,1440,3,135.411
14/06/2018 10:37:00,436,-276,7,1680,1440,3,173.979
14/06/2018 10:38:00,639,-447,0,0,1440,254,338.386
14/06/2018 10:39:00,656,-470,0,0,1440,254,368.426
14/06/2018 10:40:00,557,-387,0,0,1440,254,347.322
14/06/2018 10:41:00,325,-154,0,0,1440,254,271.298
14/06/2018 10:42:00,232,-39,0,0,1440,254,200.983
14/06/2018 10:43:00,298,-57,0,0,1440,254,148.892
14/06/2018 10:44:00,407,-176,0,0,1440,254,129.999
14/06/2018 10:45:00,396,-174,0,0,1440,254,115.485
14/06/2018 10:46:00,302,1930,0,0,1440,254,85.5537
14/06/2018 10:47:00,215,2021,0,0,1440,254,63.3797
14/06/2018 10:48:00,179,35,0,0,1440,254,46.9529
14/06/2018 10:49:00,137,81,0,0,1440,254,34.7835
14/06/2018 10:50:00,129,115,0,0,1440,254,25.7683
14/06/2018 10:51:00,150,93,0,0,1440,254,19.0896
14/06/2018 10:52:00,253,-20,0,0,1440,254,14.1419
14/06/2018 10:53:00,370,-149,0,0,1440,254,47.2645
14/06/2018 10:54:00,501,-261,0,0,1440,254,155.337
14/06/2018 10:55:00,638,-378,0,0,1440,254,271.893
14/06/2018 10:56:00,481,-265,0,0,1440,254,244.188
14/06/2018 10:57:00,2233,-1796,7,1680,1440,3,1623.72
14/06/2018 10:58:00,2764,-2604,10,2400,1440,3,2460.17
14/06/2018 10:59:00,2899,-2700,10,2400,1440,3,2593.04
14/06/2018 11:00:00,1201,-849,6,1440,1440,3,2115.1
14/06/2018 11:01:00,895,-611,6,1440,1440,3,1699.34
14/06/2018 11:02:00,710,-407,6,1440,1440,3,1338.47
14/06/2018 11:03:00,642,-339,6,1440,1440,3,1053.51
14/06/2018 11:04:00,2986,-2691,10,2400,1440,3,2514.45
14/06/2018 11:05:00,2972,-2713,10,2400,1440,3,2608.09
14/06/2018 11:06:00,2846,-2532,10,2400,1440,3,2562.45
14/06/2018 11:07:00,699,-402,6,1440,1440,3,1976.59
14/06/2018 11:08:00,585,-72,6,1440,1440,3,1464.29
14/06/2018 11:09:00,418,91,0,0,1440,254,1084.77
14/06/2018 11:10:00,323,209,0,0,1440,254,803.62
14/06/2018 11:11:00,267,250,0,0,1440,254,595.336
14/06/2018 11:12:00,272,264,0,0,1440,254,441.036
14/06/2018 11:13:00,275,175,0,0,1440,254,326.727
14/06/2018 11:14:00,327,110,0,0,1440,254,242.046
14/06/2018 11:15:00,343,81,0,0,1440,254,179.312
14/06/2018 11:16:00,406,42,0,0,1440,254,132.837
14/06/2018 11:17:00,2897,-2455,9,2160,1440,3,2244.37
14/06/2018 11:18:00,788,-346,6,1440,1440,3,1726.43
14/06/2018 11:19:00,1501,-989,6,1440,1440,3,1509.38
