Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
14/06/2018 08:21:00,219,-27,0,0,1440,254,0
14/06/2018 08:22:00,198,-22,0,0,1440,254,0
14/06/2018 08:23:00,214,-13,0,0,1440,254,0
14/06/2018 08:24:00,263,-65,0,0,1440,254,0
14/06/2018 08:25:00,296,-98,0,0,1440,254,0
14/06/2018 08:26:00,266,-66,0,0,1440,254,0
14/06/2018 08:27:00,188,12,0,0,1440,254,0
14/06/2018 08:28:00,180,12,0,0,1440,254,0
14/06/2018 08:29:00,151,34,0,0,1440,254,0
14/06/2018 08:30:00,156,36,0,0,1440,254,0
14/06/2018 08:31:00,158,40,0,0,1440,254,0
14/06/2018 08:32:00,200,2,0,0,1440,254,0
14/06/2018 08:33:00,184,3044,0,0,1440,254,0
14/06/2018 08:34:00,207,-19,0,0,1440,254,0
14/06/2018 08:35:00,215,-41,0,0,1440,254,0
14/06/2018 08:36:00,256,-3,0,0,1440,254,0
14/06/2018 08:37:00,340,-148,0,0,1440,254,45.6102
14/06/2018 08:38:00,588,-378,0,0,1440,254,266.43
14/06/2018 08:39:00,646,764,0,0,1440,254,241.076
14/06/2018 08:40:00,495,925,0,0,1440,254,218.134
14/06/2018 08:41:00,407,-247,0,0,1440,254,211.365
14/06/2018 08:42:00,508,-298,0,0,1440,254,210.093
14/06/2018 08:43:00,472,-282,0,0,1440,254,207.42
14/06/2018 08:44:00,388,-202,0,0,1440,254,197.388
14/06/2018 08:45:00,401,-214,0,0,1440,254,189.452
14/06/2018 08:46:00,462,-288,0,0,1440,254,189.314
14/06/2018 08:47:00,481,-314,0,0,1440,254,212.771
14/06/2018 08:48:00,556,-278,0,0,1440,254,209.462
14/06/2018 08:49:00,458,-219,0,0,1440,254,200.853
14/06/2018 08:50:00,446,-193,0,0,1440,254,190.59
14/06/2018 08:51:00,446,-190,0,0,1440,254,181.017
14/06/2018 08:52:00,434,-179,0,0,1440,254,171.309
14/06/2018 08:53:00,413,-158,0,0,1440,254,160.526
14/06/2018 08:54:00,421,-158,0,0,1440,254,150.77
14/06/2018 08:55:00,412,-74,0,0,1440,254,136.422
14/06/2018 08:56:00,377,-50,0,0,1440,254,123.44
14/06/2018 08:57:00,573,-237,0,0,1440,254,136.325
14/06/2018 08:58:00,535,-285,0,0,1440,254,182.577
14/06/2018 08:59:00,592,-271,0,0,1440,254,181.475
14/06/2018 09:00:00,552,-205,0,0,1440,254,174.197
14/06/2018 09:01:00,450,-137,0,0,1440,254,161.141
14/06/2018 09:02:00,693,-400,0,0,1440,254,293.087
14/06/2018 09:03:00,510,-214,0,0,1440,254,276.044
14/06/2018 09:04:00,2117,-1794,7,1680,1440,3,1623.4
14/06/2018 09:05:00,2703,-2329,9,2160,1440,3,2198.85
14/06/2018 09:06:00,527,-192,6,1440,1440,3,1998.36
14/06/2018 09:07:00,702,-404,6,1440,1440,3,1837.12
14/06/2018 09:08:00,748,-531,6,1440,1440,3,1703.31
14/06/2018 09:09:00,636,-389,6,1440,1440,3,1568.72
14/06/2018 09:10:00,511,-284,6,1440,1440,3,1436.94
14/06/2018 09:11:00,483,-298,6,1440,1440,3,1319.04
14/06/2018 09:12:00,428,-245,6,1440,1440,3,1207.32
14/06/2018 09:13:00,416,-237,6,1440,1440,3,1105.46
14/06/2018 09:14:00,458,-283,6,1440,1440,3,1017.68
14/06/2018 09:15:00,634,-441,0,0,1440,254,953.285
14/06/2018 09:16:00,755,-587,0,0,1440,254,908.913
14/06/2018 09:17:00,586,-488,0,0,1440,254,859.341
14/06/2018 09:18:00,601,-455,0,0,1440,254,811.347
14/06/2018 09:19:00,567,-386,0,0,1440,254,761.353
14/06/2018 09:20:00,442,-264,0,0,1440,254,704.508
14/06/2018 09:21:00,613,-409,0,0,1440,254,666.87
14/06/2018 09:22:00,670,-524,0,0,1440,254,643.758
14/06/2018 09:23:00,673,-449,0,0,1440,254,615.708
14/06/2018 09:24:00,521,-263,0,0,1440,254,572.627
14/06/2018 09:25:00,491,-333,0,0,1440,254,540.307
14/06/2018 09:26:00,701,-515,0,0,1440,254,528.383
14/06/2018 09:27:00,576,-415,0,0,1440,254,508.077
14/06/2018 09:28:00,789,-609,0,0,1440,254,508.954
14/06/2018 09:29:00,579,-398,0,0,1440,254,488.879
14/06/2018 09:30:00,464,-286,0,0,1440,254,460.056
14/06/2018 09:31:00,696,-469,0,0,1440,254,451.391
14/06/2018 09:32:00,744,-512,0,0,1440,254,447.643
14/06/2018 09:33:00,2944,-2705,10,2400,1440,3,2497.59
14/06/2018 09:34:00,645,-401,6,1440,1440,3,2288.56
14/06/2018 09:35:00,545,-305,6,1440,1440,3,2090.28
14/06/2018 09:36:00,587,-365,6,1440,1440,3,1916.58
14/06/2018 09:37:00,501,-243,6,1440,1440,3,1747.8
14/06/2018 09:38:00,3033,-2777,11,2640,1440,3,2630.74
14/06/2018 09:39:00,567,2605,6,1440,1440,3,2380.39
14/06/2018 09:40:00,645,2595,6,1440,1440,3,2153.87
14/06/2018 09:41:00,2743,558,6,1440,1440,3,1948.9
14/06/2018 09:42:00,841,-699,6,1440,1440,3,1820.44
14/06/2018 09:43:00,1204,-950,6,1440,1440,3,1728.09
14/06/2018 09:44:00,737,-555,6,1440,1440,3,1606.94
14/06/2018 09:45:00,635,-452,6,1440,1440,3,1487.52
14/06/2018 09:46:00,627,-443,0,0,1440,254,1378.6
14/06/2018 09:47:00,2376,-2487,9,2160,1440,3,2336.79
14/06/2018 09:48:00,1110,-909,6,1440,1440,3,2191.41
14/06/2018 09:49:00,1902,-1853,7,1680,1440,3,2149.69
14/06/2018 09:50:00,1142,-971,6,1440,1440,3,2028
14/06/2018 09:51:00,2222,-2069,8,1920,1440,3,2022.39
14/06/2018 09:52:00,736,-542,6,1440,1440,3,1871.99
14/06/2018 09:53:00,553,-377,6,1440,1440,3,1720.21
14/06/2018 09:54:00,735,-555,6,1440,1440,3,1599.81
14/06/2018 09:55:00,744,-579,6,1440,1440,3,1493.15
14/06/2018 09:56:00,736,-565,0,0,1440,254,1395.31
14/06/2018 09:57:00,1500,-1308,0,0,1440,254,1377.48
14/06/2018 09:58:00,831,-568,0,0,1440,254,1290.94
14/06/2018 09:59:00,2947,-2722,10,2400,1440,3,2555.73
14/06/2018 10:00:00,985,-717,6,1440,1440,3,2371.24
14/06/2018 10:01:00,832,-574,6,1440,1440,3,2190.69
14/06/2018 10:02:00,686,-407,6,1440,1440,3,2011.43
14/06/2018 10:03:00,2302,-1953,7,1680,1440,3,1996.36
14/06/2018 10:04:00,718,-460,6,1440,1440,3,1840.64
14/06/2018 10:05:00,1045,-785,6,1440,1440,3,1730.66
14/06/2018 10:06:00,842,-602,6,1440,1440,3,1613.74
14/06/2018 10:07:00,778,-527,6,1440,1440,3,1500.81
14/06/2018 10:08:00,1450,-1223,6,1440,1440,3,1464.85
14/06/2018 10:09:00,1065,-812,6,1440,1440,3,1393.21
14/06/2018 10:10:00,1228,-1048,0,0,1440,254,1350.84
14/06/2018 10:11:00,828,-649,0,0,1440,254,1274.54
14/06/2018 10:12:00,861,-704,0,0,1440,254,1210.73
14/06/2018 10:13:00,1103,-939,0,0,1440,254,1175.35
14/06/2018 10:14:00,2984,-2823,11,2640,1440,3,2645.95
14/06/2018 10:15:00,1303,-1037,6,1440,1440,3,2483.32
14/06/2018 10:16:00,656,-418,6,1440,1440,3,2277.26
14/06/2018 10:17:00,454,-212,6,1440,1440,3,2071.21
14/06/2018 10:18:00,375,-129,6,1440,1440,3,1876.87
14/06/2018 10:19:00,302,-44,6,1440,1440,3,1698.26
14/06/2018 10:20:00,265,-14,6,1440,1440,3,1536.65
14/06/2018 10:21:00,293,-51,6,1440,1440,3,1390.42
14/06/2018 10:22:00,402,-182,6,1440,1440,3,1265.91
14/06/2018 10:23:00,458,-240,6,1440,1440,3,1158.76
14/06/2018 10:24:00,592,-394,6,1440,1440,3,1076.47
14/06/2018 10:25:00,842,-676,0,0,1440,254,1028.84
14/06/2018 10:26:00,1258,-1119,0,0,1440,254,1027.91
14/06/2018 10:27:00,2267,-1803,7,1680,1440,3,1669.39
14/06/2018 10:28:00,1242,-1092,6,1440,1440,3,1604.93
14/06/2018 10:29:00,1845,1365,6,1440,1440,3,1452.2
14/06/2018 10:30:00,1135,2134,6,1440,1440,3,1314
14/06/2018 10:31:00,759,2518,6,1440,1440,3,1188.96
14/06/2018 10:32:00,599,2699,6,1440,1440,3,1075.81
14/06/2018 10:33:00,287,3004,6,1440,1440,3,973.437
14/06/2018 10:34:00,235,-30,6,1440,1440,3,880.803
14/06/2018 10:35:00,177,22,6,1440,1440,3,796.983
14/06/2018 10:36:00,235,-42,6,1440,1440,3,721.14
14/06/2018 10:37:00,436,-276,6,1440,1440,3,669.263
14/06/2018 10:38:00,639,-447,0,0,1440,254,638.596
14/06/2018 10:39:00,656,-470,0,0,1440,254,613.036
14/06/2018 10:40:00,557,-387,0,0,1440,254,582.009
14/06/2018 10:41:00,325,-154,0,0,1440,254,531.762
14/06/2018 10:42:00,232,-39,0,0,1440,254,481.159
14/06/2018 10:43:00,298,-57,0,0,1440,254,435.37
14/06/2018 10:44:00,407,-176,0,0,1440,254,401.172
14/06/2018 10:45:00,396,-174,0,0,1440,254,370.037
14/06/2018 10:46:00,302,1930,0,0,1440,254,334.823
14/06/2018 10:47:00,215,2021,0,0,1440,254,302.961
14/06/2018 10:48:00,179,35,0,0,1440,254,274.13
14/06/2018 10:49:00,137,81,0,0,1440,254,248.043
14/06/2018 10:50:00,129,115,0,0,1440,254,224.439
14/06/2018 10:51:00,150,93,0,0,1440,254,203.081
14/06/2018 10:52:00,253,-20,0,0,1440,254,183.755
14/06/2018 10:53:00,370,-149,0,0,1440,254,170.931
14/06/2018 10:54:00,501,-261,0,0,1440,254,169.986
14/06/2018 10:55:00,638,-378,0,0,1440,254,272.622
14/06/2018 10:56:00,481,-265,0,0,1440,254,262.381
14/06/2018 10:57:00,2233,-1796,7,1680,1440,3,1624.62
14/06/2018 10:58:00,2764,-2604,10,2400,1440,3,2460.22
14/06/2018 10:59:00,2899,-2700,10,2400,1440,3,2593.04
14/06/2018 11:00:00,1201,-849,6,1440,1440,3,2417.56
14/06/2018 11:01:00,895,-611,6,1440,1440,3,2236.12
14/06/2018 11:02:00,710,-407,6,1440,1440,3,2052.54
14/06/2018 11:03:00,642,-339,6,1440,1440,3,1879.96
14/06/2018 11:04:00,2986,-2691,10,2400,1440,3,2555.6
14/06/2018 11:05:00,2972,-2713,10,2400,1440,3,2610.14
14/06/2018 11:06:00,2846,-2532,10,2400,1440,3,2593.19
14/06/2018 11:07:00,699,-402,6,1440,1440,3,2375.15
14/06/2018 11:08:00,585,-72,6,1440,1440,3,2149.13
14/06/2018 11:09:00,418,91,6,1440,1440,3,1944.61
14/06/2018 11:10:00,323,209,6,1440,1440,3,1759.56
14/06/2018 11:11:00,267,250,6,1440,1440,3,1592.11
14/06/2018 11:12:00,272,264,6,1440,1440,3,1440.6
14/06/2018 11:13:00,275,175,0,0,1440,254,1303.51
14/06/2018 11:14:00,327,110,0,0,1440,254,1179.47
14/06/2018 11:15:00,343,81,0,0,1440,254,1067.23
14/06/2018 11:16:00,406,42,0,0,1440,254,965.666
14/06/2018 11:17:00,2897,-2455,9,2160,1440,3,2285.83
14/06/2018 11:18:00,788,-346,6,1440,1440,3,2091.71
