Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
14/06/2018 08:21:00,219,-27,0,0,1440,254,0
14/06/2018 08:22:00,198,-22,0,0,1440,254,20.9047
14/06/2018 08:23:00,214,-13,0,0,1440,254,20.1525
14/06/2018 08:24:00,263,-65,0,0,1440,254,62.7672
14/06/2018 08:25:00,296,-98,0,0,1440,254,96.2459
14/06/2018 08:26:00,266,-66,0,0,1440,254,93.3676
14/06/2018 08:27:00,188,12,0,0,1440,254,84.4825
14/06/2018 08:28:00,180,12,0,0,1440,254,76.4429
14/06/2018 08:29:00,151,34,0,0,1440,254,69.1684
14/06/2018 08:30:00,156,36,0,0,1440,254,62.5862
14/06/2018 08:31:00,158,40,0,0,1440,254,56.6303
14/06/2018 08:32:00,200,2,0,0,1440,254,51.2412
14/06/2018 08:33:00,184,3044,0,0,1440,254,46.365
14/06/2018 08:34:00,207,-19,0,0,1440,254,43.7609
14/06/2018 08:35:00,215,-41,0,0,1440,254,43.4981
14/06/2018 08:36:00,256,-3,0,0,1440,254,39.6442
14/06/2018 08:37:00,340,-148,0,0,1440,254,142.605
14/06/2018 08:38:00,588,-378,0,0,1440,254,366.28
14/06/2018 08:39:00,646,764,0,0,1440,254,331.424
14/06/2018 08:40:00,495,925,0,0,1440,254,299.885
14/06/2018 08:41:00,407,-247,0,0,1440,254,294.852
14/06/2018 08:42:00,508,-298,0,0,1440,254,297.843
14/06/2018 08:43:00,472,-282,0,0,1440,254,296.336
14/06/2018 08:44:00,388,-202,0,0,1440,254,287.358
14/06/2018 08:45:00,401,-214,0,0,1440,254,280.377
14/06/2018 08:46:00,462,-288,0,0,1440,254,287.62
14/06/2018 08:47:00,481,-314,0,0,1440,254,312.687
14/06/2018 08:48:00,556,-278,0,0,1440,254,309.386
14/06/2018 08:49:00,458,-219,0,0,1440,254,300.784
14/06/2018 08:50:00,446,-193,0,0,1440,254,290.527
14/06/2018 08:51:00,446,-190,0,0,1440,254,280.961
