Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
18/09/2019 05:55:00,6,0,0,0,1440,254,0
18/09/2019 05:56:00,7,0,0,0,1440,254,7
18/09/2019 05:57:00,8,0,0,0,1440,254,7.95021
18/09/2019 05:58:00,4,0,0,0,1440,254,6.92639
18/09/2019 05:59:00,5,0,0,0,1440,254,6.4271
18/09/2019 06:00:00,7,0,0,0,1440,254,6.97148
18/09/2019 06:02:00,8,0,0,0,1440,254,7.99745
18/09/2019 06:03:00,7,0,0,0,1440,254,7.73893
18/09/2019 06:04:00,5,0,0,0,1440,254,7.02905
18/09/2019 06:05:00,7,0,0,0,1440,254,7.02152
18/09/2019 06:06:00,7,0,0,0,1440,254,7.01594
18/09/2019 06:07:00,7,0,0,0,1440,254,7.01181
18/09/2019 06:08:00,6,0,0,0,1440,254,6.74957
18/09/2019 06:09:00,6,0,0,0,1440,254,6.55529
18/09/2019 06:10:00,5,0,0,0,1440,254,6.15219
18/09/2019 06:11:00,5,0,0,0,1440,254,5.85356
18/09/2019 06:12:00,8,0,0,0,1440,254,7.89314
18/09/2019 06:13:00,8,0,0,0,1440,254,7.99468
18/09/2019 06:14:00,3,0,0,0,1440,254,6.70015
18/09/2019 06:15:00,6,0,0,0,1440,254,6.51868
18/09/2019 06:16:00,7,0,0,0,1440,254,6.97604
18/09/2019 06:17:00,5,0,0,0,1440,254,6.46388
18/09/2019 06:18:00,5,0,0,0,1440,254,6.08447
18/09/2019 06:19:00,6,0,0,0,1440,254,6.06258
18/09/2019 06:20:00,7,0,0,0,1440,254,6.95333
18/09/2019 06:21:00,4,0,0,0,1440,254,6.18788
18/09/2019 06:22:00,6,0,0,0,1440,254,6.13918
18/09/2019 06:23:00,6,0,0,0,1440,254,6.10311
18/09/2019 06:24:00,6,0,0,0,1440,254,6.07639
18/09/2019 06:25:00,7,0,0,0,1440,254,6.95402
18/09/2019 06:26:00,7,0,0,0,1440,254,6.99771
18/09/2019 06:27:00,6,0,0,0,1440,254,6.73912
18/09/2019 06:28:00,5,0,0,0,1440,254,6.28837
18/09/2019 06:29:00,7,0,0,0,1440,254,6.96457
18/09/2019 06:30:00,6,0,0,0,1440,254,6.71457
18/09/2019 06:31:00,6,0,0,0,1440,254,6.52937
18/09/2019 06:32:00,-19,0,0,0,1440,254,4.83707
18/09/2019 06:33:00,24,0,0,0,1440,254,23.0459
18/09/2019 06:34:00,22,0,0,0,1440,254,22.7748
18/09/2019 06:35:00,26,0,0,0,1440,254,25.8394
18/09/2019 06:36:00,34,0,0,0,1440,254,33.5937
18/09/2019 06:37:00,25,0,0,0,1440,254,31.3664
18/09/2019 06:38:00,34,0,0,0,1440,254,33.8689
18/09/2019 06:39:00,30,0,0,0,1440,254,32.8661
18/09/2019 06:40:00,33,0,0,0,1440,254,32.9933
18/09/2019 06:41:00,30,0,0,0,1440,254,32.2175
18/09/2019 06:42:00,23,0,0,0,1440,254,29.8285
18/09/2019 06:43:00,35,0,0,0,1440,254,34.7425
18/09/2019 06:45:00,34,0,0,0,1440,254,34.4075
