Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
15/03/2020 06:57:00,9,0,0,0,1440,254,0
15/03/2020 06:58:00,6,0,0,0,1440,254,6
15/03/2020 06:59:00,6,0,0,0,1440,254,6
15/03/2020 07:00:00,4,0,0,0,1440,254,5.48164
15/03/2020 07:01:00,8,0,0,0,1440,254,7.87462
15/03/2020 07:02:00,5,0,0,0,1440,254,7.12957
15/03/2020 07:03:00,7,0,0,0,1440,254,7.09599
15/03/2020 07:04:00,5,0,0,0,1440,254,6.55275
15/03/2020 07:05:00,7,0,0,0,1440,254,6.97773
15/03/2020 07:06:00,7,0,0,0,1440,254,6.99889
15/03/2020 07:07:00,27,0,0,0,1440,254,26.0042
15/03/2020 07:08:00,11,0,0,0,1440,254,22.1154
15/03/2020 07:09:00,14,0,0,0,1440,254,20.012
15/03/2020 07:10:00,0,0,0,0,1440,254,14.8253
15/03/2020 07:11:00,-4,0,0,0,1440,254,10.9828
15/03/2020 07:12:00,7,0,0,0,1440,254,9.95056
15/03/2020 07:13:00,7,0,0,0,1440,254,9.18583
15/03/2020 07:14:00,9,0,0,0,1440,254,9.13766
15/03/2020 07:15:00,7,0,0,0,1440,254,8.58362
15/03/2020 07:16:00,6,0,0,0,1440,254,7.91399
15/03/2020 07:17:00,6,0,0,0,1440,254,7.41792
15/03/2020 07:18:00,6,0,0,0,1440,254,7.05042
15/03/2020 07:19:00,7,0,0,0,1440,254,7.03735
15/03/2020 07:20:00,7,0,0,0,1440,254,7.02767
15/03/2020 07:21:00,6,0,0,0,1440,254,6.76132
15/03/2020 07:22:00,6,0,0,0,1440,254,6.564
15/03/2020 07:23:00,7,0,0,0,1440,254,6.97829
15/03/2020 07:24:00,6,0,0,0,1440,254,6.72474
15/03/2020 07:25:00,10,0,0,0,1440,254,9.83693
15/03/2020 07:26:00,7,0,0,0,1440,254,9.10165
15/03/2020 07:27:00,6,0,0,0,1440,254,8.29776
15/03/2020 07:28:00,6,0,0,0,1440,254,7.70222
15/03/2020 07:29:00,6,0,0,0,1440,254,7.26104
15/03/2020 07:30:00,5,0,0,0,1440,254,6.67502
15/03/2020 07:31:00,6,0,0,0,1440,254,6.50007
15/03/2020 07:32:00,6,0,0,0,1440,254,6.37046
15/03/2020 07:33:00,7,0,0,0,1440,254,6.96866
15/03/2020 07:34:00,7,0,0,0,1440,254,6.99844
15/03/2020 07:35:00,8,0,0,0,1440,254,7.95014
15/03/2020 07:36:00,7,0,0,0,1440,254,7.70388
15/03/2020 07:37:00,6,0,0,0,1440,254,7.26226
15/03/2020 07:38:00,7,0,0,0,1440,254,7.19429
15/03/2020 07:39:00,7,0,0,0,1440,254,7.14393
15/03/2020 07:40:00,6,0,0,0,1440,254,6.84745
15/03/2020 07:41:00,10,0,0,0,1440,254,9.84304
15/03/2020 07:42:00,58,0,0,0,1440,254,55.6024
15/03/2020 07:43:00,62,0,0,0,1440,254,61.6815
15/03/2020 07:44:00,68,0,0,0,1440,254,67.6854
15/03/2020 07:45:00,68,0,0,0,1440,254,67.9843
15/03/2020 07:46:00,59,0,0,0,1440,254,65.6558
15/03/2020 07:47:00,55,0,0,0,1440,254,62.894
15/03/2020 07:48:00,54,0,0,0,1440,254,60.5888
15/03/2020 07:49:00,49,0,0,0,1440,254,57.5852
15/03/2020 07:50:00,62,0,0,0,1440,254,61.7802
15/03/2020 07:51:00,76,0,0,0,1440,254,75.292
15/03/2020 07:52:00,82,0,0,0,1440,254,81.666
15/03/2020 07:53:00,98,0,0,0,1440,254,97.1868
15/03/2020 07:54:00,83,0,0,0,1440,254,93.5098
15/03/2020 07:55:00,78,0,0,0,1440,254,89.49
15/03/2020 07:56:00,91,0,0,0,1440,254,90.9248
15/03/2020 07:57:00,92,0,0,0,1440,254,91.9465
15/03/2020 07:58:00,98,0,0,0,1440,254,97.6986
15/03/2020 07:59:00,100,0,0,0,1440,254,99.8854
15/03/2020 08:00:00,79,0,0,0,1440,254,94.4723
15/03/2020 08:01:00,93,0,0,0,1440,254,94.0907
15/03/2020 08:02:00,94,0,0,0,1440,254,94.0672
15/03/2020 08:03:00,107,0,0,0,1440,254,106.356
15/03/2020 08:04:00,115,0,0,0,1440,254,114.57
15/03/2020 08:05:00,111,0,0,0,1440,254,113.644
15/03/2020 08:06:00,110,0,0,0,1440,254,112.7
15/03/2020 08:07:00,112,0,0,0,1440,254,112.518
15/03/2020 08:08:00,110,0,0,0,1440,254,111.866
15/03/2020 08:09:00,121,0,0,0,1440,254,120.545
15/03/2020 08:10:00,129,0,0,0,1440,254,128.579
15/03/2020 08:11:00,128,0,0,0,1440,254,128.429
15/03/2020 08:12:00,123,0,0,0,1440,254,127.022
15/03/2020 08:13:00,122,0,0,0,1440,254,125.72
15/03/2020 08:14:00,116,0,0,0,1440,254,123.201
15/03/2020 08:15:00,114,0,0,0,1440,254,120.816
15/03/2020 08:16:00,140,0,0,0,1440,254,139.045
15/03/2020 08:17:00,184,0,0,0,1440,254,181.762
15/03/2020 08:18:00,234,0,0,0,1440,254,231.399
15/03/2020 08:19:00,274,0,0,0,1440,254,271.879
15/03/2020 08:20:00,331,0,0,0,1440,254,328.057
15/03/2020 08:21:00,371,0,0,0,1440,254,368.862
15/03/2020 08:22:00,288,0,0,0,1440,254,347.904
15/03/2020 08:23:00,288,0,0,0,1440,254,332.378
15/03/2020 08:24:00,265,0,0,0,1440,254,314.915
15/03/2020 08:25:00,237,0,0,0,1440,254,294.721
15/03/2020 08:26:00,203,0,0,0,1440,254,270.948
15/03/2020 08:27:00,204,0,0,0,1440,254,253.597
15/03/2020 08:28:00,184,0,0,0,1440,254,235.558
15/03/2020 08:29:00,173,0,0,0,1440,254,219.344
15/03/2020 08:30:00,151,0,0,0,1440,254,201.631
15/03/2020 08:31:00,138,0,0,0,1440,254,185.139
15/03/2020 08:32:00,121,0,0,0,1440,254,168.515
15/03/2020 08:33:00,107,0,0,0,1440,254,152.572
15/03/2020 08:34:00,107,0,0,0,1440,254,140.76
15/03/2020 08:35:00,117,0,0,0,1440,254,134.602
15/03/2020 08:36:00,135,0,0,0,1440,254,134.98
15/03/2020 08:37:00,163,0,0,0,1440,254,161.605
15/03/2020 08:38:00,185,0,0,0,1440,254,183.835
15/03/2020 08:39:00,193,0,0,0,1440,254,192.544
