Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
15/03/2020 06:57:00,9,0,0,0,1440,254,0
15/03/2020 06:58:00,6,0,0,0,1440,254,1.08762
15/03/2020 06:59:00,6,0,0,0,1440,254,1.97808
15/03/2020 07:00:00,4,0,0,0,1440,254,2.34459
15/03/2020 07:01:00,8,0,0,0,1440,254,3.36974
15/03/2020 07:02:00,5,0,0,0,1440,254,3.66526
15/03/2020 07:03:00,7,0,0,0,1440,254,4.26974
15/03/2020 07:04:00,5,0,0,0,1440,254,4.40212
15/03/2020 07:05:00,7,0,0,0,1440,254,4.87303
15/03/2020 07:06:00,7,0,0,0,1440,254,5.25859
15/03/2020 07:07:00,27,0,0,0,1440,254,9.19964
15/03/2020 07:08:00,11,0,0,0,1440,254,9.52599
15/03/2020 07:09:00,14,0,0,0,1440,254,10.337
15/03/2020 07:10:00,0,0,0,0,1440,254,0.514648
15/03/2020 07:11:00,-4,0,0,0,1440,254,0.0256228
15/03/2020 07:12:00,7,0,0,0,1440,254,1.28986
15/03/2020 07:13:00,7,0,0,0,1440,254,2.32494
15/03/2020 07:14:00,9,0,0,0,1440,254,3.53492
15/03/2020 07:15:00,7,0,0,0,1440,254,4.16303
15/03/2020 07:16:00,6,0,0,0,1440,254,4.49602
15/03/2020 07:17:00,6,0,0,0,1440,254,4.76864
15/03/2020 07:18:00,6,0,0,0,1440,254,4.99185
15/03/2020 07:19:00,7,0,0,0,1440,254,5.35587
15/03/2020 07:20:00,7,0,0,0,1440,254,5.6539
15/03/2020 07:21:00,6,0,0,0,1440,254,5.71663
15/03/2020 07:22:00,6,0,0,0,1440,254,5.768
15/03/2020 07:23:00,7,0,0,0,1440,254,5.99132
15/03/2020 07:24:00,6,0,0,0,1440,254,5.9929
15/03/2020 07:25:00,10,0,0,0,1440,254,6.71926
15/03/2020 07:26:00,7,0,0,0,1440,254,6.77015
15/03/2020 07:27:00,6,0,0,0,1440,254,6.03834
15/03/2020 07:28:00,6,0,0,0,1440,254,6.00191
15/03/2020 07:29:00,6,0,0,0,1440,254,6.0001
