Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
27/03/2020 01:12:00,4,0,0,0,1494,254,0
27/03/2020 01:14:00,4,0,0,0,1488,254,4.13333
27/03/2020 01:16:00,4,0,0,0,1494,254,4.15
27/03/2020 01:18:00,2,0,0,0,1488,254,3.20088
27/03/2020 01:20:00,6,0,0,0,1494,254,6.21754
27/03/2020 01:22:00,4,0,0,0,1488,254,5.26346
27/03/2020 01:24:00,4,0,0,0,1494,254,4.77273
27/03/2020 01:26:00,1,0,0,0,1494,254,3.08744
27/03/2020 01:28:00,3,0,0,0,1488,254,3.09994
27/03/2020 01:30:00,2,0,0,0,1494,254,2.64436
27/03/2020 01:32:00,2,0,0,0,1494,254,2.38747
27/03/2020 01:34:00,4,0,0,0,1494,254,4.14563
27/03/2020 01:36:00,3,0,0,0,1494,254,3.67949
27/03/2020 01:38:00,1,0,0,0,1494,254,2.48746
27/03/2020 01:40:00,2,0,0,0,1494,254,2.30136
27/03/2020 01:42:00,3,0,0,0,1494,254,3.11049
27/03/2020 01:44:00,3,0,0,0,1494,254,3.1125
27/03/2020 01:46:00,2,0,0,0,1488,254,2.63377
27/03/2020 01:48:00,7,0,0,0,1494,254,7.25105
27/03/2020 01:50:00,3,0,0,0,1494,254,5.38379
27/03/2020 01:52:00,3,0,0,0,1494,254,4.35901
27/03/2020 01:54:00,2,0,0,0,1494,254,3.32849
27/03/2020 01:56:00,4,0,0,0,1494,254,4.14796
27/03/2020 01:58:00,1,0,0,0,1494,254,2.74456
27/03/2020 02:00:00,1,0,0,0,1494,254,1.97435
27/03/2020 02:02:00,2,0,0,0,1494,254,2.07475
27/03/2020 02:04:00,2,0,0,0,1488,254,2.06667
27/03/2020 02:06:00,2,0,0,0,1494,254,2.075
27/03/2020 02:08:00,4,0,0,0,1494,254,4.14486
27/03/2020 02:10:00,4,0,0,0,1494,254,4.14999
27/03/2020 02:12:00,4,0,0,0,1494,254,4.15
27/03/2020 02:14:00,2,0,0,0,1494,254,3.21378
27/03/2020 02:16:00,3,0,0,0,1494,254,3.16809
27/03/2020 02:18:00,4,0,0,0,1488,254,4.13091
27/03/2020 02:20:00,4,0,0,0,1494,254,4.14999
27/03/2020 02:22:00,2,0,0,0,1494,254,3.21378
27/03/2020 02:24:00,2,0,0,0,1494,254,2.69998
27/03/2020 02:26:00,3,0,0,0,1494,254,3.11148
27/03/2020 02:28:00,2,0,0,0,1494,254,2.64383
27/03/2020 02:30:00,3,0,0,0,1488,254,3.09884
27/03/2020 02:32:00,2,0,0,0,1494,254,2.64375
27/03/2020 02:34:00,2,0,0,0,1494,254,2.38714
27/03/2020 02:36:00,4,0,0,0,1494,254,4.14563
27/03/2020 02:38:00,2,0,0,0,1494,254,3.21139
27/03/2020 02:40:00,1,0,0,0,1494,254,2.23055
27/03/2020 02:42:00,1,0,0,0,1494,254,1.69226
27/03/2020 02:44:00,2,0,0,0,1494,254,2.07405
27/03/2020 02:46:00,4,0,0,0,1494,254,4.14485
27/03/2020 02:48:00,2,0,0,0,1488,254,3.19806
27/03/2020 02:50:00,2,0,0,0,1494,254,2.69843
27/03/2020 02:52:00,4,0,0,0,1494,254,4.1464
27/03/2020 02:54:00,4,0,0,0,1494,254,4.14999
27/03/2020 02:56:00,3,0,0,0,1494,254,3.68189
27/03/2020 02:58:00,3,0,0,0,1494,254,3.42499
27/03/2020 03:00:00,4,0,0,0,1494,254,4.1482
27/03/2020 03:02:00,4,0,0,0,1488,254,4.13333
27/03/2020 03:04:00,3,0,0,0,1488,254,3.6671
27/03/2020 03:06:00,2,0,0,0,1494,254,2.95688
