Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
27/03/2020 01:12:00,4,0,0,0,1494,254,0
27/03/2020 01:14:00,4,0,0,0,1488,254,4.12309
27/03/2020 01:16:00,4,0,0,0,1494,254,4.14997
27/03/2020 01:18:00,2,0,0,0,1488,254,3.75869
27/03/2020 01:20:00,6,0,0,0,1494,254,6.21892
27/03/2020 01:22:00,4,0,0,0,1488,254,5.82042
27/03/2020 01:24:00,4,0,0,0,1494,254,5.53684
27/03/2020 01:26:00,1,0,0,0,1494,254,4.72125
27/03/2020 01:28:00,3,0,0,0,1488,254,4.41184
27/03/2020 01:30:00,2,0,0,0,1494,254,4.00281
27/03/2020 01:32:00,2,0,0,0,1494,254,3.65336
27/03/2020 01:34:00,4,0,0,0,1494,254,4.14877
27/03/2020 01:36:00,3,0,0,0,1494,254,3.96093
27/03/2020 01:38:00,1,0,0,0,1494,254,3.431
27/03/2020 01:40:00,2,0,0,0,1494,254,3.1852
27/03/2020 01:42:00,3,0,0,0,1494,254,3.17202
27/03/2020 01:44:00,3,0,0,0,1494,254,3.16123
27/03/2020 01:46:00,2,0,0,0,1488,254,2.95243
27/03/2020 01:48:00,7,0,0,0,1494,254,7.25185
27/03/2020 01:50:00,3,0,0,0,1494,254,6.50151
27/03/2020 01:52:00,3,0,0,0,1494,254,5.88719
27/03/2020 01:54:00,2,0,0,0,1494,254,5.19615
27/03/2020 01:56:00,4,0,0,0,1494,254,5.00652
27/03/2020 01:58:00,1,0,0,0,1494,254,4.28706
27/03/2020 02:00:00,1,0,0,0,1494,254,3.69801
27/03/2020 02:02:00,2,0,0,0,1494,254,3.40381
27/03/2020 02:04:00,2,0,0,0,1488,254,3.15024
27/03/2020 02:06:00,2,0,0,0,1494,254,2.96573
27/03/2020 02:08:00,4,0,0,0,1494,254,4.14706
27/03/2020 02:10:00,4,0,0,0,1494,254,4.14999
27/03/2020 02:12:00,4,0,0,0,1494,254,4.15
27/03/2020 02:14:00,2,0,0,0,1494,254,3.77387
27/03/2020 02:16:00,3,0,0,0,1494,254,3.65398
27/03/2020 02:18:00,4,0,0,0,1488,254,4.13211
27/03/2020 02:20:00,4,0,0,0,1494,254,4.15
27/03/2020 02:22:00,2,0,0,0,1494,254,3.77386
27/03/2020 02:24:00,2,0,0,0,1494,254,3.46591
27/03/2020 02:26:00,3,0,0,0,1494,254,3.40185
27/03/2020 02:28:00,2,0,0,0,1494,254,3.16133
27/03/2020 02:30:00,3,0,0,0,1488,254,3.13982
27/03/2020 02:32:00,2,0,0,0,1494,254,2.95717
27/03/2020 02:34:00,2,0,0,0,1494,254,2.79726
27/03/2020 02:36:00,4,0,0,0,1494,254,4.14665
27/03/2020 02:38:00,2,0,0,0,1494,254,3.77112
27/03/2020 02:40:00,1,0,0,0,1494,254,3.2756
27/03/2020 02:42:00,1,0,0,0,1494,254,2.8699
27/03/2020 02:44:00,2,0,0,0,1494,254,2.72581
27/03/2020 02:46:00,4,0,0,0,1494,254,4.14647
27/03/2020 02:48:00,2,0,0,0,1488,254,3.75583
27/03/2020 02:50:00,2,0,0,0,1494,254,3.46355
27/03/2020 02:52:00,4,0,0,0,1494,254,4.1483
27/03/2020 02:54:00,4,0,0,0,1494,254,4.15
27/03/2020 02:56:00,3,0,0,0,1494,254,3.96193
27/03/2020 02:58:00,3,0,0,0,1494,254,3.80795
27/03/2020 03:00:00,4,0,0,0,1494,254,4.14915
27/03/2020 03:02:00,4,0,0,0,1488,254,4.13333
27/03/2020 03:04:00,3,0,0,0,1488,254,3.94602
27/03/2020 03:06:00,2,0,0,0,1494,254,3.61989
27/03/2020 03:08:00,4,0,0,0,1488,254,4.13202
27/03/2020 03:10:00,6,0,0,0,1488,254,6.19487
27/03/2020 03:12:00,6,0,0,0,1488,254,6.19999
27/03/2020 03:14:00,4,0,0,0,1494,254,5.84886
27/03/2020 03:16:00,4,0,0,0,1488,254,5.51865
27/03/2020 03:18:00,3,0,0,0,1494,254,5.10071
27/03/2020 03:20:00,4,0,0,0,1494,254,4.92838
27/03/2020 03:22:00,3,0,0,0,1494,254,4.59921
27/03/2020 03:24:00,2,0,0,0,1488,254,4.12502
27/03/2020 03:26:00,3,0,0,0,1494,254,3.9551
27/03/2020 03:28:00,3,0,0,0,1494,254,3.80236
27/03/2020 03:30:00,3,0,0,0,1494,254,3.67731
27/03/2020 03:32:00,5,0,0,0,1494,254,5.18376
