Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
27/03/2020 01:12:00,4,0,0,0,1494,254,0
27/03/2020 01:14:00,4,0,0,0,1488,254,4.13333
27/03/2020 01:16:00,4,0,0,0,1494,254,4.15
27/03/2020 01:18:00,2,0,0,0,1488,254,2.07179
27/03/2020 01:20:00,6,0,0,0,1494,254,3.44662
27/03/2020 01:22:00,4,0,0,0,1488,254,3.66374
27/03/2020 01:24:00,4,0,0,0,1494,254,3.83395
27/03/2020 01:26:00,1,0,0,0,1494,254,1.04443
27/03/2020 01:28:00,3,0,0,0,1488,254,1.7193
27/03/2020 01:30:00,2,0,0,0,1494,254,1.84121
27/03/2020 01:32:00,2,0,0,0,1494,254,1.91829
27/03/2020 01:34:00,4,0,0,0,1494,254,2.65404
27/03/2020 01:36:00,3,0,0,0,1494,254,2.80518
27/03/2020 01:38:00,1,0,0,0,1494,254,1.04188
27/03/2020 01:40:00,2,0,0,0,1494,254,1.38248
27/03/2020 01:42:00,3,0,0,0,1494,254,1.95283
27/03/2020 01:44:00,3,0,0,0,1494,254,2.33515
27/03/2020 01:46:00,2,0,0,0,1488,254,2.06731
27/03/2020 01:48:00,7,0,0,0,1494,254,3.78565
27/03/2020 01:50:00,3,0,0,0,1494,254,3.11417
27/03/2020 01:52:00,3,0,0,0,1494,254,3.1125
27/03/2020 01:54:00,2,0,0,0,1494,254,2.07757
27/03/2020 01:56:00,4,0,0,0,1494,254,2.76081
27/03/2020 01:58:00,1,0,0,0,1494,254,1.04177
27/03/2020 02:00:00,1,0,0,0,1494,254,1.03751
27/03/2020 02:02:00,2,0,0,0,1494,254,1.37955
27/03/2020 02:04:00,2,0,0,0,1488,254,1.60236
27/03/2020 02:06:00,2,0,0,0,1494,254,1.76251
27/03/2020 02:08:00,4,0,0,0,1494,254,2.54962
27/03/2020 02:10:00,4,0,0,0,1494,254,3.07723
27/03/2020 02:12:00,4,0,0,0,1494,254,3.4309
27/03/2020 02:14:00,2,0,0,0,1494,254,2.07836
27/03/2020 02:16:00,3,0,0,0,1494,254,2.4193
27/03/2020 02:18:00,4,0,0,0,1488,254,2.97787
27/03/2020 02:20:00,4,0,0,0,1494,254,3.37234
27/03/2020 02:22:00,2,0,0,0,1494,254,2.07822
27/03/2020 02:24:00,2,0,0,0,1494,254,2.07501
27/03/2020 02:26:00,3,0,0,0,1494,254,2.41705
27/03/2020 02:28:00,2,0,0,0,1494,254,2.07585
27/03/2020 02:30:00,3,0,0,0,1488,254,2.4079
27/03/2020 02:32:00,2,0,0,0,1494,254,2.07585
27/03/2020 02:34:00,2,0,0,0,1494,254,2.075
27/03/2020 02:36:00,4,0,0,0,1494,254,2.75909
27/03/2020 02:38:00,2,0,0,0,1494,254,2.0767
27/03/2020 02:40:00,1,0,0,0,1494,254,1.04008
27/03/2020 02:42:00,1,0,0,0,1494,254,1.03751
27/03/2020 02:44:00,2,0,0,0,1494,254,1.37955
27/03/2020 02:46:00,4,0,0,0,1494,254,2.29291
27/03/2020 02:48:00,2,0,0,0,1488,254,2.0672
27/03/2020 02:50:00,2,0,0,0,1494,254,2.075
27/03/2020 02:52:00,4,0,0,0,1494,254,2.75909
27/03/2020 02:54:00,4,0,0,0,1494,254,3.21764
27/03/2020 02:56:00,3,0,0,0,1494,254,3.11276
27/03/2020 02:58:00,3,0,0,0,1494,254,3.1125
27/03/2020 03:00:00,4,0,0,0,1494,254,3.45454
27/03/2020 03:02:00,4,0,0,0,1488,254,3.66903
27/03/2020 03:04:00,3,0,0,0,1488,254,3.10141
27/03/2020 03:06:00,2,0,0,0,1494,254,2.07758
