"Dataset","Config","Total Solar (kWh)","Total EV Charge (kWh)","Charge from solar (kWh)","Charge from grid (kWh)","Number of charges","Min time charging","Max time charging","Total time charging"
"almostperfect","Default",21.0761,16.908,16.7347,0.1733,1,29220,29220,29220
"CloudyMorning","Default",16.64403333333335,12.932,12.607133333333332,0.3248666666666668,1,21960,21960,21960
"day1","Default",10.122499999999986,7.348,6.693383333333336,0.6546166666666666,5,600,9780,13380
"day2","Default",12.345850000000002,9.688,9.679666666666671,0.008333333333333338,1,19440,19440,19440
"day3","Default",5.090700000000003,1.832,1.3778666666666668,0.4541333333333331,5,660,1140,4320
"day1_grid_ie","Default",15.125083333333341,8.456,8.207783333333333,0.2482166666666667,7,600,7500,18900
"day2_grid_ie","Default",10.848333333333322,7.968,6.372783333333335,1.5952166666666674,12,600,7800,16920
"day3_grid_ie","Default",12.132416666666659,6.06,6.013250000000001,0.04675,2,3000,9840,12840
"solar-vrms","Default",13.84936666666668,11.678033333333332,11.61943333333333,0.05860000000000007,1,20640,20640,20640
"Energy_and_Power_Day_2020-03-22","Default",41.874,38.58,38.511,0.069,1,28800,28800,28800
"Energy_and_Power_Day_2020-03-31","Default",23.91,18.42,18.42,0.0,2,900,20700,21600
"Energy_and_Power_Day_2020-04-01","Default",38.891,36.42,36.42,0.0,1,26100,26100,26100
"almostperfect","data/config-inputfilter-noimport.json",21.0761,15.616,15.551466666666666,0.06453333333333333,5,600,20400,26280
"CloudyMorning","data/config-inputfilter-noimport.json",16.64403333333335,10.72,10.577366666666666,0.14263333333333333,5,600,9060,16920
"day1","data/config-inputfilter-noimport.json",10.122499999999986,4.924,4.701183333333334,0.22281666666666666,6,600,2460,7740
"day2","data/config-inputfilter-noimport.json",12.345850000000002,9.14,9.139683333333334,0.00031666666666666665,1,18120,18120,18120
"day3","data/config-inputfilter-noimport.json",5.090700000000003,0.036,0.03533333333333333,0.0006666666666666666,1,120,120,120
"day1_grid_ie","data/config-inputfilter-noimport.json",15.125083333333341,4.832,4.8146,0.0174,7,60,2640,10320
"day2_grid_ie","data/config-inputfilter-noimport.json",10.848333333333322,1.672,1.5808666666666669,0.09113333333333333,3,600,2040,3240
"day3_grid_ie","data/config-inputfilter-noimport.json",12.132416666666659,3.876,3.8504333333333336,0.025566666666666668,7,600,2700,7620
"solar-vrms","data/config-inputfilter-noimport.json",13.84936666666668,11.289299999999995,11.245699999999998,0.04360000000000006,1,19800,19800,19800
"Energy_and_Power_Day_2020-03-22","data/config-inputfilter-noimport.json",41.874,38.16,38.16,0.0,1,27900,27900,27900
"Energy_and_Power_Day_2020-03-31","data/config-inputfilter-noimport.json",23.91,18.06,18.06,0.0,1,20700,20700,20700
"Energy_and_Power_Day_2020-04-01","data/config-inputfilter-noimport.json",38.891,36.42,36.42,0.0,1,26100,26100,26100
"almostperfect","data/config-inputfilter-nowaste.json",21.0761,21.32,19.895333333333323,1.4246666666666663,1,37500,37500,37500
"CloudyMorning","data/config-inputfilter-nowaste.json",16.64403333333335,15.436,14.257483333333319,1.178516666666667,1,26820,26820,26820
"day1","data/config-inputfilter-nowaste.json",10.122499999999986,11.648,9.141516666666659,2.5064833333333323,3,720,17280,23340
"day2","data/config-inputfilter-nowaste.json",12.345850000000002,12.448,11.663083333333338,0.7849166666666673,1,24540,24540,24540
"day3","data/config-inputfilter-nowaste.json",5.090700000000003,4.944,3.235200000000001,1.7088,3,600,8760,11940
"day1_grid_ie","data/config-inputfilter-nowaste.json",15.125083333333341,14.212,13.012016666666675,1.1999833333333332,4,1860,14880,30900
"day2_grid_ie","data/config-inputfilter-nowaste.json",10.848333333333322,11.504,8.577283333333332,2.926716666666666,7,600,14700,24480
"day3_grid_ie","data/config-inputfilter-nowaste.json",12.132416666666659,8.652,8.117683333333336,0.5343166666666668,3,1500,14640,17700
"solar-vrms","data/config-inputfilter-nowaste.json",13.84936666666668,14.221866666666667,13.183299999999994,1.0385666666666669,1,24960,24960,24960
"Energy_and_Power_Day_2020-03-22","data/config-inputfilter-nowaste.json",41.874,41.34,40.811,0.529,1,33300,33300,33300
"Energy_and_Power_Day_2020-03-31","data/config-inputfilter-nowaste.json",23.91,23.82,22.377,1.443,2,4500,27900,32400
"Energy_and_Power_Day_2020-04-01","data/config-inputfilter-nowaste.json",38.891,38.16,37.606,0.554,1,28800,28800,28800
