"Dataset","Config","Total Solar (kWh)","Total EV Charge (kWh)","Charge from solar (kWh)","Charge from grid (kWh)","Number of charges","Min time charging","Max time charging","Total time charging"
"almostperfect","Master",21.0761,17.244,17.052049999999998,0.19195,1,30060,30060,30060
"CloudyMorning","Master",16.64403333333335,13.028,12.67138333333333,0.3566166666666668,1,22200,22200,22200
"day1","Master",10.122499999999986,7.476,6.709083333333337,0.7669166666666667,5,660,10080,13740
"day2","Master",12.345850000000002,9.88,9.857866666666672,0.02213333333333334,1,19920,19920,19920
"day3","Master",5.090700000000003,2.224,1.6038833333333338,0.6201166666666664,5,660,2400,5340
"day1_grid_ie","Master",15.125083333333341,8.832,8.467966666666669,0.3640333333333333,5,660,7800,19860
"day2_grid_ie","Master",10.848333333333322,7.66,6.157216666666668,1.502783333333334,10,420,7980,16260
"day3_grid_ie","Master",12.132416666666659,6.32,6.2719000000000005,0.048100000000000004,2,3660,9840,13500
"solar-vrms","Master",13.84936666666668,12.264966666666668,12.09766666666666,0.16730000000000003,1,22080,22080,22080
"Energy_and_Power_Day_2020-03-22","Master",41.874,38.52,38.406,0.114,1,28800,28800,28800
"Energy_and_Power_Day_2020-03-31","Master",23.91,18.78,18.663,0.117,1,22500,22500,22500
"Energy_and_Power_Day_2020-04-01","Master",38.891,36.72,36.405,0.315,1,27000,27000,27000
