"Dataset","Config","Total Solar (kWh)","Total EV Charge (kWh)","Charge from solar (kWh)","Charge from grid (kWh)","Number of charges","Min time charging","Max time charging","Total time charging"
"almostperfect","Default",21.0761,16.796,16.697983333333333,0.09801666666666668,3,1380,20760,28920
"CloudyMorning","Default",16.64403333333335,12.836,12.546099999999997,0.28990000000000005,2,1080,20640,21720
"day1","Default",10.122499999999986,7.156,6.62886666666667,0.5271333333333331,6,180,9600,12900
"day2","Default",12.345850000000002,9.928,9.903516666666672,0.024483333333333343,1,20040,20040,20040
"day3","Default",5.090700000000003,1.74,1.3031333333333335,0.43686666666666657,7,120,780,3900
"day1_grid_ie","Default",15.125083333333341,8.304,8.082533333333332,0.22146666666666667,8,660,7380,18420
"day2_grid_ie","Default",10.848333333333322,7.44,6.043033333333333,1.396966666666667,20,120,2700,15480
"day3_grid_ie","Default",12.132416666666659,6.112,6.072050000000001,0.03995000000000001,5,420,3720,12960
"solar-vrms","Default",13.84936666666668,11.87663333333333,11.796299999999995,0.08033333333333338,1,21120,21120,21120
"Energy_and_Power_Day_2020-03-22","Default",41.874,38.58,38.511,0.069,1,28800,28800,28800
"Energy_and_Power_Day_2020-03-31","Default",23.91,18.42,18.42,0.0,2,900,20700,21600
"Energy_and_Power_Day_2020-04-01","Default",38.891,36.42,36.42,0.0,1,26100,26100,26100
