Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
06/08/2018 04:45:00,0,0,0,0,1440,254,0
06/08/2018 04:46:00,0,0,0,0,1440,254,0
06/08/2018 04:47:00,0,0,0,0,1440,254,0
06/08/2018 04:48:00,0,0,0,0,1440,254,0
06/08/2018 04:49:00,0,0,0,0,1440,254,0
06/08/2018 04:50:00,0,0,0,0,1440,254,0
06/08/2018 04:51:00,0,0,0,0,1440,254,0
06/08/2018 04:52:00,0,0,0,0,1440,254,0
06/08/2018 04:53:00,0,0,0,0,1440,254,0
06/08/2018 04:54:00,0,0,0,0,1440,254,0
06/08/2018 04:55:00,0,0,0,0,1440,254,0
06/08/2018 04:56:00,0,0,0,0,1440,254,0
06/08/2018 04:57:00,0,0,0,0,1440,254,0
06/08/2018 04:58:00,21,0,0,0,1440,254,8.4
06/08/2018 04:59:00,22,0,0,0,1440,254,13.84
06/08/2018 05:00:00,23,0,0,0,1440,254,17.504
06/08/2018 05:01:00,27,0,0,0,1440,254,21.3024
06/08/2018 05:02:00,26,0,0,0,1440,254,23.1814
06/08/2018 05:03:00,26,0,0,0,1440,254,24.3089
06/08/2018 05:04:00,33,0,0,0,1440,254,27.7853
06/08/2018 05:05:00,38,0,0,0,1440,254,31.8712
06/08/2018 05:06:00,41,0,0,0,1440,254,35.5227
06/08/2018 05:07:00,45,0,0,0,1440,254,39.3136
06/08/2018 05:08:00,49,0,0,0,1440,254,43.1882
06/08/2018 05:09:00,54,0,0,0,1440,254,47.5129
06/08/2018 05:10:00,54,0,0,0,1440,254,50.1077
06/08/2018 05:11:00,63,0,0,0,1440,254,55.2646
06/08/2018 05:12:00,66,0,0,0,1440,254,59.5588
06/08/2018 05:13:00,66,0,0,0,1440,254,62.1353
06/08/2018 05:14:00,69,0,0,0,1440,254,64.8812
06/08/2018 05:15:00,77,0,0,0,1440,254,69.7287
06/08/2018 05:16:00,87,0,0,0,1440,254,76.6372
06/08/2018 05:17:00,95,0,0,0,1440,254,83.9823
06/08/2018 05:18:00,93,0,0,0,1440,254,87.5894
06/08/2018 05:19:00,92,0,0,0,1440,254,89.3536
06/08/2018 05:20:00,96,0,0,0,1440,254,92.0122
06/08/2018 05:21:00,102,0,0,0,1440,254,96.0073
06/08/2018 05:22:00,114,0,0,0,1440,254,103.204
06/08/2018 05:23:00,123,0,0,0,1440,254,111.123
06/08/2018 05:24:00,123,0,0,0,1440,254,115.874
06/08/2018 05:25:00,141,0,0,0,1440,254,125.924
06/08/2018 05:26:00,148,0,0,0,1440,254,134.754
06/08/2018 05:27:00,153,0,0,0,1440,254,142.053
06/08/2018 05:28:00,155,0,0,0,1440,254,147.232
06/08/2018 05:29:00,154,0,0,0,1440,254,149.939
06/08/2018 05:30:00,151,0,0,0,1440,254,150.363
06/08/2018 05:31:00,151,0,0,0,1440,254,150.618
06/08/2018 05:32:00,178,0,0,0,1440,254,161.571
06/08/2018 05:33:00,186,0,0,0,1440,254,171.342
06/08/2018 05:34:00,197,0,0,0,1440,254,181.605
06/08/2018 05:35:00,204,0,0,0,1440,254,190.563
06/08/2018 05:36:00,212,0,0,0,1440,254,199.138
06/08/2018 05:37:00,217,0,0,0,1440,254,206.283
06/08/2018 05:38:00,217,0,0,0,1440,254,210.57
06/08/2018 05:39:00,243,0,0,0,1440,254,223.542
06/08/2018 05:40:00,245,0,0,0,1440,254,232.125
06/08/2018 05:41:00,254,0,0,0,1440,254,240.875
06/08/2018 05:42:00,257,0,0,0,1440,254,247.325
06/08/2018 05:43:00,261,0,0,0,1440,254,252.795
06/08/2018 05:44:00,263,0,0,0,1440,254,256.877
06/08/2018 05:45:00,261,0,0,0,1440,254,258.526
06/08/2018 05:46:00,261,0,0,0,1440,254,259.516
06/08/2018 05:47:00,256,0,0,0,1440,254,259.34
06/08/2018 05:48:00,248,0,0,0,1440,254,258.773
06/08/2018 05:49:00,256,0,0,0,1440,254,258.634
06/08/2018 05:50:00,256,0,0,0,1440,254,258.503
06/08/2018 05:51:00,263,0,0,0,1440,254,260.302
06/08/2018 05:52:00,263,0,0,0,1440,254,261.381
06/08/2018 05:53:00,269,0,0,0,1440,254,264.429
06/08/2018 05:54:00,275,0,0,0,1440,254,268.657
06/08/2018 05:55:00,276,0,0,0,1440,254,271.594
06/08/2018 05:56:00,276,0,0,0,1440,254,273.357
06/08/2018 05:57:00,271,0,0,0,1440,254,273.239
06/08/2018 05:58:00,281,0,0,0,1440,254,276.343
06/08/2018 05:59:00,295,0,0,0,1440,254,283.806
06/08/2018 06:00:00,312,0,0,0,1440,254,295.084
06/08/2018 06:01:00,309,0,0,0,1440,254,300.65
06/08/2018 06:02:00,291,0,0,0,1440,254,300.168
06/08/2018 06:03:00,261,0,0,0,1440,254,298.209
06/08/2018 06:04:00,244,0,0,0,1440,254,295.499
06/08/2018 06:05:00,236,0,0,0,1440,254,292.524
06/08/2018 06:06:00,230,0,0,0,1440,254,289.398
06/08/2018 06:07:00,225,0,0,0,1440,254,286.178
06/08/2018 06:08:00,224,0,0,0,1440,254,283.069
06/08/2018 06:09:00,226,0,0,0,1440,254,280.215
06/08/2018 06:10:00,226,0,0,0,1440,254,277.505
06/08/2018 06:11:00,227,0,0,0,1440,254,274.979
06/08/2018 06:12:00,229,0,0,0,1440,254,272.68
06/08/2018 06:13:00,216,0,0,0,1440,254,269.846
06/08/2018 06:14:00,210,0,0,0,1440,254,266.854
06/08/2018 06:15:00,207,0,0,0,1440,254,263.861
06/08/2018 06:16:00,232,0,0,0,1440,254,262.268
06/08/2018 06:17:00,256,0,0,0,1440,254,261.955
06/08/2018 06:18:00,265,0,0,0,1440,254,263.173
06/08/2018 06:19:00,262,0,0,0,1440,254,263.114
06/08/2018 06:20:00,231,0,0,0,1440,254,261.509
06/08/2018 06:21:00,236,0,0,0,1440,254,260.233
06/08/2018 06:22:00,241,0,0,0,1440,254,259.272
06/08/2018 06:23:00,254,0,0,0,1440,254,259.008
06/08/2018 06:24:00,248,0,0,0,1440,254,258.458
06/08/2018 06:25:00,238,0,0,0,1440,254,257.435
