Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
01/01/2020 00:15:00,0,0,0,0,1440,254,0
01/01/2020 00:30:00,0,0,0,0,1440,254,0
01/01/2020 00:45:00,0,0,0,0,1440,254,0
01/01/2020 01:00:00,0,0,0,0,1440,254,0
01/01/2020 01:15:00,0,0,0,0,1440,254,0
01/01/2020 01:30:00,0,0,0,0,1440,254,0
01/01/2020 01:45:00,0,0,0,0,1440,254,0
01/01/2020 02:00:00,0,0,0,0,1440,254,0
01/01/2020 02:15:00,0,0,0,0,1440,254,0
01/01/2020 02:30:00,0,0,0,0,1440,254,0
01/01/2020 02:45:00,0,0,0,0,1440,254,0
01/01/2020 03:00:00,0,0,0,0,1440,254,0
01/01/2020 03:15:00,0,0,0,0,1440,254,0
01/01/2020 03:30:00,0,0,0,0,1440,254,0
01/01/2020 03:45:00,0,0,0,0,1440,254,0
01/01/2020 04:00:00,0,0,0,0,1440,254,0
01/01/2020 04:15:00,0,0,0,0,1440,254,0
01/01/2020 04:30:00,0,0,0,0,1440,254,0
01/01/2020 04:45:00,0,0,0,0,1440,254,0
01/01/2020 05:00:00,0,0,0,0,1440,254,0
01/01/2020 05:15:00,0,0,0,0,1440,254,0
01/01/2020 05:30:00,0,0,0,0,1440,254,0
01/01/2020 05:45:00,0,0,0,0,1440,254,0
01/01/2020 06:00:00,0,0,0,0,1440,254,0
01/01/2020 06:15:00,0,0,0,0,1440,254,0
01/01/2020 06:30:00,0,0,0,0,1440,254,0
01/01/2020 06:45:00,0,0,0,0,1440,254,0
01/01/2020 07:00:00,0,0,0,0,1440,254,0
01/01/2020 07:15:00,0,0,0,0,1440,254,0
01/01/2020 07:30:00,0,0,0,0,1440,254,0
01/01/2020 07:45:00,0,0,0,0,1440,254,0
01/01/2020 08:00:00,8,0,0,0,1440,254,3.2
01/01/2020 08:15:00,44,0,0,0,1440,254,19.52
01/01/2020 08:30:00,40,0,0,0,1440,254,27.712
01/01/2020 08:45:00,92,0,0,0,1440,254,53.4272
01/01/2020 09:00:00,128,0,0,0,1440,254,83.2563
01/01/2020 09:15:00,152,0,0,0,1440,254,110.754
01/01/2020 09:30:00,172,0,0,0,1440,254,135.252
01/01/2020 09:45:00,252,0,0,0,1440,254,181.951
01/01/2020 10:00:00,292,0,0,0,1440,254,225.971
01/01/2020 10:15:00,432,0,0,0,1440,254,308.382
01/01/2020 10:30:00,1180,0,0,0,1440,254,657.029
01/01/2020 10:45:00,1736,0,0,0,1440,254,1088.62
01/01/2020 11:00:00,2048,0,8,1920,1440,3,1472.37
01/01/2020 11:15:00,2748,0,11,2640,1440,3,1982.62
01/01/2020 11:30:00,5100,0,21,5040,1440,3,3229.57
01/01/2020 11:45:00,5448,0,22,5280,1440,3,4116.94
01/01/2020 12:00:00,3780,0,15,3600,1440,3,3982.17
01/01/2020 12:15:00,6944,0,28,6720,1440,3,5166.9
01/01/2020 12:30:00,7204,0,30,7200,1440,3,5981.74
01/01/2020 12:45:00,7480,0,31,7440,1440,3,6581.04
01/01/2020 13:00:00,8168,0,31,7440,1440,3,7215.83
01/01/2020 13:15:00,7268,0,30,7200,1440,3,7236.7
01/01/2020 13:30:00,3628,0,15,3600,1440,3,5793.22
01/01/2020 13:45:00,5316,0,22,5280,1440,3,5602.33
01/01/2020 14:00:00,2016,0,8,1920,1440,3,4167.8
01/01/2020 14:15:00,3988,0,16,3840,1440,3,4095.88
01/01/2020 14:30:00,7472,0,31,7440,1440,3,5446.33
01/01/2020 14:45:00,6052,0,25,6000,1440,3,5688.6
01/01/2020 15:00:00,6540,0,27,6480,1440,3,6029.16
01/01/2020 15:15:00,7404,0,30,7200,1440,3,6579.09
01/01/2020 15:30:00,6848,0,28,6720,1440,3,6686.66
01/01/2020 15:45:00,6676,0,27,6480,1440,3,6682.39
01/01/2020 16:00:00,6796,0,28,6720,1440,3,6727.84
01/01/2020 16:15:00,6204,0,25,6000,1440,3,6518.3
01/01/2020 16:30:00,6108,0,25,6000,1440,3,6354.18
01/01/2020 16:45:00,4548,0,18,4320,1440,3,5631.71
01/01/2020 17:00:00,2648,0,11,2640,1440,3,4438.23
01/01/2020 17:15:00,2276,0,9,2160,1440,3,3573.34
01/01/2020 17:30:00,4456,0,18,4320,1440,3,3926.4
01/01/2020 17:45:00,2488,0,10,2400,1440,3,3351.04
01/01/2020 18:00:00,976,0,6,1440,1440,3,2401.02
01/01/2020 18:15:00,644,0,6,1440,1440,3,1698.21
01/01/2020 18:30:00,636,0,0,0,1440,254,1273.33
01/01/2020 18:45:00,356,0,0,0,1440,254,906.397
01/01/2020 19:00:00,292,0,0,0,1440,254,660.638
01/01/2020 19:15:00,208,0,0,0,1440,254,479.583
01/01/2020 19:30:00,144,0,0,0,1440,254,345.35
01/01/2020 19:45:00,92,0,0,0,1440,254,244.01
01/01/2020 20:00:00,36,0,0,0,1440,254,160.806
01/01/2020 20:15:00,0,0,0,0,1440,254,96.4836
01/01/2020 20:30:00,0,0,0,0,1440,254,57.8901
01/01/2020 20:45:00,0,0,0,0,1440,254,34.7341
01/01/2020 21:00:00,0,0,0,0,1440,254,20.8404
01/01/2020 21:15:00,0,0,0,0,1440,254,12.5043
01/01/2020 21:30:00,0,0,0,0,1440,254,7.50256
01/01/2020 21:45:00,0,0,0,0,1440,254,4.50154
01/01/2020 22:00:00,0,0,0,0,1440,254,2.70092
