Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
08/07/2018 04:28:00,0,0,0,0,1440,254,0
08/07/2018 04:29:00,0,0,0,0,1440,254,0
08/07/2018 04:30:00,0,0,0,0,1440,254,0
08/07/2018 04:31:00,22,0,0,0,1440,254,8.8
08/07/2018 04:32:00,23,0,0,0,1440,254,14.48
08/07/2018 04:33:00,24,0,0,0,1440,254,18.288
08/07/2018 04:34:00,26,0,0,0,1440,254,21.3728
08/07/2018 04:35:00,26,0,0,0,1440,254,23.2237
08/07/2018 04:36:00,29,0,0,0,1440,254,25.5342
08/07/2018 04:37:00,29,0,0,0,1440,254,26.9205
08/07/2018 04:38:00,31,0,0,0,1440,254,28.5523
08/07/2018 04:39:00,34,0,0,0,1440,254,30.7314
08/07/2018 04:40:00,34,0,0,0,1440,254,32.0388
08/07/2018 04:41:00,36,0,0,0,1440,254,33.6233
08/07/2018 04:42:00,38,0,0,0,1440,254,35.374
08/07/2018 04:43:00,39,0,0,0,1440,254,36.8244
08/07/2018 04:44:00,40,0,0,0,1440,254,38.0946
08/07/2018 04:45:00,41,0,0,0,1440,254,39.2568
08/07/2018 04:46:00,43,0,0,0,1440,254,40.7541
08/07/2018 04:47:00,43,0,0,0,1440,254,41.6524
08/07/2018 04:48:00,46,0,0,0,1440,254,43.3915
08/07/2018 04:49:00,47,0,0,0,1440,254,44.8349
08/07/2018 04:50:00,50,0,0,0,1440,254,46.9009
08/07/2018 04:51:00,51,0,0,0,1440,254,48.5406
08/07/2018 04:52:00,54,0,0,0,1440,254,50.7243
08/07/2018 04:53:00,56,0,0,0,1440,254,52.8346
08/07/2018 04:54:00,57,0,0,0,1440,254,54.5008
08/07/2018 04:55:00,58,0,0,0,1440,254,55.9005
08/07/2018 04:56:00,62,0,0,0,1440,254,58.3403
08/07/2018 04:57:00,61,0,0,0,1440,254,59.4042
08/07/2018 04:58:00,65,0,0,0,1440,254,61.6425
08/07/2018 04:59:00,67,0,0,0,1440,254,63.7855
08/07/2018 05:00:00,69,0,0,0,1440,254,65.8713
08/07/2018 05:01:00,71,0,0,0,1440,254,67.9228
08/07/2018 05:02:00,73,0,0,0,1440,254,69.9537
08/07/2018 05:03:00,75,0,0,0,1440,254,71.9722
08/07/2018 05:04:00,77,0,0,0,1440,254,73.9833
08/07/2018 05:05:00,79,0,0,0,1440,254,75.99
08/07/2018 05:06:00,82,0,0,0,1440,254,78.394
08/07/2018 05:07:00,82,0,0,0,1440,254,79.8364
08/07/2018 05:08:00,85,0,0,0,1440,254,81.9018
08/07/2018 05:09:00,86,0,0,0,1440,254,83.5411
08/07/2018 05:10:00,89,0,0,0,1440,254,85.7247
08/07/2018 05:11:00,92,0,0,0,1440,254,88.2348
08/07/2018 05:12:00,94,0,0,0,1440,254,90.5409
08/07/2018 05:13:00,94,0,0,0,1440,254,91.9245
08/07/2018 05:14:00,94,0,0,0,1440,254,92.7547
08/07/2018 05:15:00,100,0,0,0,1440,254,95.6528
08/07/2018 05:16:00,101,0,0,0,1440,254,97.7917
08/07/2018 05:17:00,103,0,0,0,1440,254,99.875
08/07/2018 05:18:00,107,0,0,0,1440,254,102.725
08/07/2018 05:19:00,108,0,0,0,1440,254,104.835
08/07/2018 05:20:00,112,0,0,0,1440,254,107.701
08/07/2018 05:21:00,112,0,0,0,1440,254,109.421
08/07/2018 05:22:00,116,0,0,0,1440,254,112.052
08/07/2018 05:23:00,119,0,0,0,1440,254,114.831
08/07/2018 05:24:00,122,0,0,0,1440,254,117.699
08/07/2018 05:25:00,124,0,0,0,1440,254,120.219
08/07/2018 05:26:00,126,0,0,0,1440,254,122.532
08/07/2018 05:27:00,127,0,0,0,1440,254,124.319
08/07/2018 05:28:00,127,0,0,0,1440,254,125.391
08/07/2018 05:29:00,131,0,0,0,1440,254,127.635
08/07/2018 05:30:00,128,0,0,0,1440,254,127.781
08/07/2018 05:31:00,138,0,0,0,1440,254,131.869
08/07/2018 05:32:00,140,0,0,0,1440,254,135.121
08/07/2018 05:33:00,144,0,0,0,1440,254,138.673
08/07/2018 05:34:00,147,0,0,0,1440,254,142.004
08/07/2018 05:35:00,147,0,0,0,1440,254,144.002
08/07/2018 05:36:00,161,0,0,0,1440,254,150.801
08/07/2018 05:37:00,165,0,0,0,1440,254,156.481
08/07/2018 05:38:00,165,0,0,0,1440,254,159.888
08/07/2018 05:39:00,172,0,0,0,1440,254,164.733
08/07/2018 05:40:00,186,0,0,0,1440,254,173.24
08/07/2018 05:41:00,187,0,0,0,1440,254,178.744
08/07/2018 05:42:00,187,0,0,0,1440,254,182.046
08/07/2018 05:43:00,180,0,0,0,1440,254,181.944
08/07/2018 05:44:00,175,0,0,0,1440,254,181.597
08/07/2018 05:45:00,168,0,0,0,1440,254,180.917
08/07/2018 05:46:00,164,0,0,0,1440,254,180.071
08/07/2018 05:47:00,162,0,0,0,1440,254,179.168
08/07/2018 05:48:00,160,0,0,0,1440,254,178.209
08/07/2018 05:49:00,160,0,0,0,1440,254,177.299
08/07/2018 05:50:00,162,0,0,0,1440,254,176.534
08/07/2018 05:51:00,163,0,0,0,1440,254,175.857
08/07/2018 05:52:00,161,0,0,0,1440,254,175.114
08/07/2018 05:53:00,163,0,0,0,1440,254,174.509
08/07/2018 05:54:00,163,0,0,0,1440,254,173.933
08/07/2018 05:55:00,163,0,0,0,1440,254,173.386
08/07/2018 05:56:00,163,0,0,0,1440,254,172.867
08/07/2018 05:57:00,164,0,0,0,1440,254,172.424
08/07/2018 05:58:00,165,0,0,0,1440,254,172.053
08/07/2018 05:59:00,166,0,0,0,1440,254,171.75
08/07/2018 06:00:00,167,0,0,0,1440,254,171.512
08/07/2018 06:01:00,166,0,0,0,1440,254,171.237
08/07/2018 06:02:00,168,0,0,0,1440,254,171.075
08/07/2018 06:03:00,168,0,0,0,1440,254,170.921
08/07/2018 06:04:00,180,0,0,0,1440,254,174.553
08/07/2018 06:05:00,412,0,0,0,1440,254,269.532
08/07/2018 06:06:00,530,0,0,0,1440,254,373.719
