Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
16/03/2020 06:40:00,4,0,0,0,1440,254,0
16/03/2020 06:41:00,5,0,0,0,1440,254,5
16/03/2020 06:42:00,6,0,0,0,1440,254,5.95021
16/03/2020 06:43:00,5,0,0,0,1440,254,5.77797
16/03/2020 06:44:00,6,0,0,0,1440,254,5.98895
16/03/2020 06:45:00,8,0,0,0,1440,254,7.89988
16/03/2020 06:46:00,8,0,0,0,1440,254,7.99502
16/03/2020 06:47:00,6,0,0,0,1440,254,7.63338
16/03/2020 06:48:00,7,0,0,0,1440,254,7.51857
16/03/2020 06:49:00,5,0,0,0,1440,254,7.06203
16/03/2020 06:50:00,8,0,0,0,1440,254,7.9533
16/03/2020 06:51:00,5,0,0,0,1440,254,7.41796
16/03/2020 06:52:00,4,0,0,0,1440,254,6.79839
16/03/2020 06:53:00,6,0,0,0,1440,254,6.65366
16/03/2020 06:54:00,7,0,0,0,1440,254,6.98276
16/03/2020 06:55:00,6,0,0,0,1440,254,6.80461
16/03/2020 06:56:00,-23,0,0,0,1440,254,5.57115
16/03/2020 06:57:00,7,0,0,0,1440,254,6.92886
16/03/2020 06:58:00,5,0,0,0,1440,254,6.57922
16/03/2020 06:59:00,5,0,0,0,1440,254,6.29295
16/03/2020 07:00:00,39,0,0,0,1440,254,37.3716
16/03/2020 07:01:00,46,0,0,0,1440,254,45.5704
16/03/2020 07:02:00,60,0,0,0,1440,254,59.2816
16/03/2020 07:03:00,71,0,0,0,1440,254,70.4166
16/03/2020 07:04:00,83,0,0,0,1440,254,82.3735
16/03/2020 07:05:00,86,0,0,0,1440,254,85.8194
16/03/2020 07:06:00,97,0,0,0,1440,254,96.4434
16/03/2020 07:07:00,99,0,0,0,1440,254,98.8727
16/03/2020 07:08:00,107,0,0,0,1440,254,106.595
16/03/2020 07:09:00,90,0,0,0,1440,254,103.587
16/03/2020 07:10:00,75,0,0,0,1440,254,98.4052
16/03/2020 07:11:00,72,0,0,0,1440,254,93.6187
16/03/2020 07:12:00,56,0,0,0,1440,254,86.7996
16/03/2020 07:13:00,55,0,0,0,1440,254,81.0353
16/03/2020 07:14:00,58,0,0,0,1440,254,76.8597
16/03/2020 07:15:00,75,0,0,0,1440,254,76.5226
16/03/2020 07:16:00,60,0,0,0,1440,254,73.5276
16/03/2020 07:17:00,51,0,0,0,1440,254,69.444
16/03/2020 07:18:00,54,0,0,0,1440,254,66.6445
16/03/2020 07:19:00,61,0,0,0,1440,254,65.6213
16/03/2020 07:20:00,57,0,0,0,1440,254,64.0585
16/03/2020 07:21:00,49,0,0,0,1440,254,61.3289
16/03/2020 07:22:00,54,0,0,0,1440,254,60.0004
16/03/2020 07:23:00,51,0,0,0,1440,254,58.3689
16/03/2020 07:24:00,47,0,0,0,1440,254,56.3081
16/03/2020 07:25:00,57,0,0,0,1440,254,56.9656
16/03/2020 07:26:00,69,0,0,0,1440,254,68.4008
16/03/2020 07:27:00,79,0,0,0,1440,254,78.4723
16/03/2020 07:28:00,72,0,0,0,1440,254,77.2991
16/03/2020 07:29:00,84,0,0,0,1440,254,83.6664
16/03/2020 07:30:00,83,0,0,0,1440,254,83.5456
16/03/2020 07:31:00,86,0,0,0,1440,254,85.8778
