Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available
27/03/2020 01:12:00,4,0,0,0,1494,254,0
27/03/2020 01:14:00,4,0,0,0,1488,254,4.13333
27/03/2020 01:16:00,4,0,0,0,1494,254,4.15
27/03/2020 01:18:00,2,0,0,0,1488,254,3.45199
27/03/2020 01:20:00,6,0,0,0,1494,254,6.21816
27/03/2020 01:22:00,4,0,0,0,1488,254,5.5141
27/03/2020 01:24:00,4,0,0,0,1494,254,5.07928
27/03/2020 01:26:00,1,0,0,0,1494,254,3.74679
27/03/2020 01:28:00,3,0,0,0,1488,254,3.52347
27/03/2020 01:30:00,2,0,0,0,1494,254,3.05546
27/03/2020 01:32:00,2,0,0,0,1494,254,2.73222
27/03/2020 01:34:00,4,0,0,0,1494,254,4.14649
27/03/2020 01:36:00,3,0,0,0,1494,254,3.8056
27/03/2020 01:38:00,1,0,0,0,1494,254,2.89301
27/03/2020 01:40:00,2,0,0,0,1494,254,2.62333
27/03/2020 01:42:00,3,0,0,0,1494,254,3.11129
27/03/2020 01:44:00,3,0,0,0,1494,254,3.1125
27/03/2020 01:46:00,2,0,0,0,1488,254,2.75933
27/03/2020 01:48:00,7,0,0,0,1494,254,7.25137
27/03/2020 01:50:00,3,0,0,0,1494,254,5.88686
27/03/2020 01:52:00,3,0,0,0,1494,254,4.97221
27/03/2020 01:54:00,2,0,0,0,1494,254,4.01706
27/03/2020 01:56:00,4,0,0,0,1494,254,4.14967
27/03/2020 01:58:00,1,0,0,0,1494,254,3.12365
27/03/2020 02:00:00,1,0,0,0,1494,254,2.43589
27/03/2020 02:02:00,2,0,0,0,1494,254,2.31691
27/03/2020 02:04:00,2,0,0,0,1488,254,2.22817
27/03/2020 02:06:00,2,0,0,0,1494,254,2.1837
27/03/2020 02:08:00,4,0,0,0,1494,254,4.14513
27/03/2020 02:10:00,4,0,0,0,1494,254,4.14999
27/03/2020 02:12:00,4,0,0,0,1494,254,4.15
27/03/2020 02:14:00,2,0,0,0,1494,254,3.46591
27/03/2020 02:16:00,3,0,0,0,1494,254,3.3494
27/03/2020 02:18:00,4,0,0,0,1488,254,4.13136
27/03/2020 02:20:00,4,0,0,0,1494,254,4.15
27/03/2020 02:22:00,2,0,0,0,1494,254,3.46591
27/03/2020 02:24:00,2,0,0,0,1494,254,3.00736
27/03/2020 02:26:00,3,0,0,0,1494,254,3.11224
27/03/2020 02:28:00,2,0,0,0,1494,254,2.77028
27/03/2020 02:30:00,3,0,0,0,1488,254,3.09916
27/03/2020 02:32:00,2,0,0,0,1494,254,2.76989
27/03/2020 02:34:00,2,0,0,0,1494,254,2.5408
27/03/2020 02:36:00,4,0,0,0,1494,254,4.14601
27/03/2020 02:38:00,2,0,0,0,1494,254,3.46324
27/03/2020 02:40:00,1,0,0,0,1494,254,2.66352
27/03/2020 02:42:00,1,0,0,0,1494,254,2.12746
27/03/2020 02:44:00,2,0,0,0,1494,254,2.11016
27/03/2020 02:46:00,4,0,0,0,1494,254,4.14494
27/03/2020 02:48:00,2,0,0,0,1488,254,3.44862
27/03/2020 02:50:00,2,0,0,0,1494,254,3.00509
27/03/2020 02:52:00,4,0,0,0,1494,254,4.14716
27/03/2020 02:54:00,4,0,0,0,1494,254,4.14999
27/03/2020 02:56:00,3,0,0,0,1494,254,3.80795
27/03/2020 02:58:00,3,0,0,0,1494,254,3.57868
27/03/2020 03:00:00,4,0,0,0,1494,254,4.14858
27/03/2020 03:02:00,4,0,0,0,1488,254,4.13333
27/03/2020 03:04:00,3,0,0,0,1488,254,3.79266
27/03/2020 03:06:00,2,0,0,0,1494,254,3.23663
